x,y
15.20,97.38
15.20,96.60
15.20,95.06
15.20,94.29
15.20,93.52
15.20,92.75
15.20,91.98
15.20,91.20
15.20,90.43
15.20,89.66
15.20,88.89
15.20,88.12
15.20,87.35
15.20,83.49
15.20,80.40
15.20,68.83
15.20,67.28
15.20,66.51
15.20,65.74
15.20,59.57
15.20,58.80
15.20,58.02
15.20,57.25
15.20,14.04
15.20,13.27
15.20,12.50
15.44,99.69
15.44,98.92
15.44,98.15
15.44,95.83
15.44,86.57
15.44,85.80
15.44,85.03
15.44,84.26
15.44,82.72
15.44,81.94
15.44,81.17
15.44,79.63
15.44,78.86
15.44,78.09
15.44,77.31
15.44,76.54
15.44,75.77
15.44,75.00
15.44,74.23
15.44,73.46
15.44,72.69
15.44,71.91
15.44,71.14
15.44,70.37
15.44,69.60
15.44,68.06
15.44,64.97
15.44,64.20
15.44,63.43
15.44,62.65
15.44,61.88
15.44,61.11
15.44,60.34
15.44,56.48
15.44,55.71
15.44,54.94
15.44,54.17
15.44,53.40
15.44,52.62
15.44,51.85
15.44,51.08
15.44,50.31
15.44,49.54
15.44,48.77
15.44,47.99
15.44,47.22
15.44,37.96
15.44,37.19
15.44,36.42
15.44,33.33
15.44,32.56
15.44,31.79
15.44,31.02
15.44,30.25
15.44,29.48
15.44,28.70
15.44,27.93
15.44,27.16
15.44,26.39
15.44,25.62
15.44,24.85
15.44,22.53
15.44,20.99
15.44,20.22
15.44,19.44
15.44,18.67
15.44,17.90
15.44,17.13
15.44,16.36
15.44,15.59
15.44,14.81
15.69,46.45
15.69,45.68
15.69,44.91
15.69,44.14
15.69,43.36
15.69,42.59
15.69,41.82
15.69,41.05
15.69,40.28
15.69,39.51
15.69,38.73
15.69,35.65
15.69,34.88
15.69,34.10
15.69,24.07
15.69,23.30
15.69,21.76
15.93,12.19
16.67,99.69
17.16,12.35
17.89,99.69
18.38,12.35
19.12,99.69
19.61,12.35
20.34,99.69
20.83,12.35
21.57,99.69
22.06,12.35
22.79,99.69
23.28,12.35
24.02,99.69
24.51,12.35
25.25,99.69
25.74,12.35
26.47,99.69
26.96,12.19
27.70,99.69
28.19,12.35
28.92,99.69
29.41,12.19
30.15,99.69
30.64,12.19
31.37,99.69
31.86,12.19
32.60,99.69
33.09,12.19
33.82,99.69
34.31,12.35
35.05,99.69
35.54,12.35
36.27,99.69
36.76,12.35
37.50,99.69
37.99,12.35
38.73,99.69
39.22,12.35
39.95,99.69
40.44,12.35
41.18,99.69
41.67,12.35
42.40,99.69
42.89,12.35
43.63,99.69
44.12,12.35
44.85,99.69
45.34,12.35
46.08,99.69
46.57,12.35
47.30,99.69
47.79,12.35
48.53,99.85
49.02,12.35
49.51,12.65
49.75,99.85
50.00,12.19
50.98,99.69
51.23,12.35
52.21,99.69
52.45,12.35
53.43,99.85
53.68,12.35
54.66,99.69
54.90,12.35
55.88,99.69
56.13,12.35
57.11,99.69
57.35,12.35
58.33,99.69
58.58,12.35
59.56,99.69
59.80,12.35
