x_relative,y_relative
0.000000,0.909314
0.002141,0.909314
0.004283,0.909314
0.006424,0.909314
0.008565,0.908905
0.010707,0.908905
0.012848,0.908905
0.014989,0.908497
0.017131,0.908088
0.019272,0.908088
0.021413,0.907680
0.023555,0.907271
0.025696,0.907271
0.027837,0.906863
0.029979,0.906863
0.032120,0.906454
0.034261,0.906454
0.036403,0.906454
0.038544,0.906454
0.040685,0.906454
0.042827,0.906454
0.044968,0.906454
0.047109,0.906454
0.049251,0.906454
0.051392,0.906454
0.053533,0.906454
0.055675,0.906046
0.057816,0.905637
0.059957,0.905637
0.062099,0.905637
0.064240,0.905229
0.066381,0.905229
0.068522,0.905229
0.070664,0.873366
0.072805,0.873366
0.074946,0.873366
0.077088,0.873366
0.079229,0.873366
0.081370,0.873366
0.083512,0.873366
0.085653,0.873366
0.087794,0.873366
0.089936,0.874183
0.092077,0.874183
0.094218,0.875000
0.096360,0.904003
0.098501,0.903595
0.100642,0.903595
0.102784,0.903186
0.104925,0.903186
0.107066,0.902778
0.109208,0.902369
0.111349,0.902369
0.113490,0.902369
0.115632,0.902369
0.117773,0.901961
0.119914,0.901552
0.122056,0.901144
0.124197,0.900735
0.126338,0.900735
0.128480,0.900327
0.130621,0.899918
0.132762,0.899918
0.134904,0.899918
0.137045,0.899510
0.139186,0.899510
0.141328,0.899101
0.143469,0.898693
0.145610,0.898284
0.147752,0.897467
0.149893,0.897467
0.152034,0.896650
0.154176,0.896650
0.156317,0.895833
0.158458,0.895833
0.160600,0.895833
0.162741,0.895833
0.164882,0.895833
0.167024,0.895425
0.169165,0.895425
0.171306,0.895016
0.173448,0.895016
0.175589,0.894199
0.177730,0.894199
0.179872,0.893791
0.182013,0.893382
0.184154,0.892974
0.186296,0.892565
0.188437,0.891748
0.190578,0.891340
0.192719,0.890523
0.194861,0.890114
0.197002,0.889297
0.199143,0.888480
0.201285,0.888072
0.203426,0.887255
0.205567,0.886029
0.207709,0.884804
0.209850,0.883578
0.211991,0.882353
0.214133,0.881536
0.216274,0.879902
0.218415,0.879085
0.220557,0.877859
0.222698,0.876225
0.224839,0.875000
0.226981,0.873366
0.229122,0.871324
0.231263,0.868873
0.233405,0.867239
0.235546,0.865196
0.237687,0.861928
0.239829,0.859477
0.241970,0.857435
0.244111,0.855392
0.246253,0.852941
0.248394,0.850490
0.250535,0.848039
0.252677,0.845997
0.254818,0.841503
0.256959,0.837418
0.259101,0.832261
0.261242,0.827104
0.263383,0.821946
0.265525,0.816789
0.267666,0.811632
0.269807,0.806475
0.271949,0.801317
0.274090,0.796160
0.276231,0.789216
0.278373,0.785131
0.280514,0.782271
0.282655,0.778186
0.284797,0.775735
0.286938,0.772876
0.289079,0.768791
0.291221,0.767157
0.293362,0.763889
0.295503,0.761438
0.297645,0.757761
0.299786,0.754085
0.301927,0.751634
0.304069,0.749592
0.306210,0.747549
0.308351,0.744281
0.310493,0.740196
0.312634,0.736520
0.314775,0.734886
0.316916,0.732843
0.319058,0.729984
0.321199,0.725082
0.323340,0.722222
0.325482,0.720588
0.327623,0.718954
0.329764,0.714869
0.331906,0.713235
0.334047,0.709150
0.336188,0.707108
0.338330,0.705474
0.340471,0.703431
0.342612,0.702614
0.344754,0.702614
0.346895,0.703431
0.349036,0.705882
0.351178,0.709967
0.353319,0.713644
0.355460,0.717729
0.357602,0.707516
0.359743,0.724265
0.361884,0.727533
0.364026,0.730801
0.366167,0.736928
0.368308,0.744281
0.370450,0.746732
0.372591,0.749592
0.374732,0.752451
0.376874,0.755310
0.379015,0.757353
0.381156,0.761846
0.383298,0.765114
0.385439,0.765931
0.387580,0.765931
0.389722,0.765931
0.391863,0.765523
0.394004,0.764706
0.396146,0.763072
0.398287,0.762255
0.400428,0.761029
0.402570,0.759804
0.404711,0.758987
0.406852,0.757761
0.408994,0.756944
0.411135,0.755310
0.413276,0.754493
0.415418,0.754085
0.417559,0.752859
0.419700,0.751225
0.421842,0.750000
0.423983,0.748775
0.426124,0.743464
0.428266,0.739408
0.430407,0.733718
0.432548,0.728029
0.434690,0.722339
0.436831,0.716649
0.438972,0.710959
0.441113,0.705270
0.443255,0.699580
0.445396,0.693890
0.447537,0.688200
0.449679,0.682511
0.451820,0.676821
0.453961,0.671131
0.456103,0.665441
0.458244,0.660539
0.460385,0.657680
0.462527,0.654412
0.464668,0.654003
0.466809,0.654003
0.468951,0.654820
0.471092,0.656454
0.473233,0.661356
0.475375,0.668995
0.477516,0.676634
0.479657,0.684273
0.481799,0.691912
0.483940,0.699551
0.486081,0.707190
0.488223,0.714828
0.490364,0.722467
0.492505,0.730106
0.494647,0.737745
0.496788,0.745098
0.498929,0.749183
0.501071,0.750408
0.503212,0.750817
0.505353,0.743056
0.507495,0.719771
0.509636,0.716503
0.511777,0.715686
0.513919,0.715686
0.516060,0.727533
0.518201,0.727941
0.520343,0.728758
0.522484,0.735703
0.524625,0.736111
0.526767,0.732026
0.528908,0.721094
0.531049,0.710162
0.533191,0.699230
0.535332,0.688298
0.537473,0.677365
0.539615,0.666433
0.541756,0.655501
0.543897,0.644569
0.546039,0.633637
0.548180,0.622705
0.550321,0.611772
0.552463,0.600840
0.554604,0.571895
0.556745,0.562908
0.558887,0.530229
0.561028,0.522059
0.563169,0.505719
0.565310,0.472222
0.567452,0.467320
0.569593,0.466503
0.571734,0.502451
0.573876,0.585784
0.576017,0.625408
0.578158,0.424020
0.580300,0.443627
0.582441,0.483660
0.584582,0.548203
0.586724,0.587418
0.588865,0.627451
0.591006,0.651961
0.593148,0.656046
0.595289,0.660131
0.597430,0.662173
0.599572,0.664216
0.601713,0.666667
0.603854,0.669118
0.605996,0.670343
0.608137,0.671569
0.610278,0.671569
0.612420,0.671569
0.614561,0.670752
0.616702,0.669526
0.618844,0.668709
0.620985,0.667075
0.623126,0.665850
0.625268,0.664624
0.627409,0.662582
0.629550,0.660076
0.631692,0.656332
0.633833,0.649265
0.635974,0.642198
0.638116,0.635131
0.640257,0.628064
0.642398,0.620997
0.644540,0.613930
0.646681,0.606863
0.648822,0.599796
0.650964,0.592729
0.653105,0.585662
0.655246,0.578595
0.657388,0.571528
0.659529,0.564461
0.661670,0.557394
0.663812,0.550327
0.665953,0.543260
0.668094,0.536193
0.670236,0.529126
0.672377,0.522059
0.674518,0.518382
0.676660,0.516340
0.678801,0.511029
0.680942,0.506944
0.683084,0.505310
0.685225,0.502042
0.687366,0.499183
0.689507,0.496732
0.691649,0.493873
0.693790,0.491422
0.695931,0.487337
0.698073,0.484886
0.700214,0.482435
0.702355,0.481209
0.704497,0.479984
0.706638,0.476716
0.708779,0.475082
0.710921,0.473856
0.713062,0.472222
0.715203,0.470997
0.717345,0.469771
0.719486,0.467729
0.721627,0.465686
0.723769,0.464461
0.725910,0.464052
0.728051,0.463235
0.730193,0.463235
0.732334,0.464461
0.734475,0.465686
0.736617,0.467729
0.738758,0.468546
0.740899,0.469771
0.743041,0.471405
0.745182,0.472222
0.747323,0.473448
0.749465,0.474265
0.751606,0.475899
0.753747,0.477124
0.755889,0.478758
0.758030,0.479575
0.760171,0.480801
0.762313,0.481618
0.764454,0.483660
0.766595,0.485294
0.768737,0.486928
0.770878,0.488971
0.773019,0.490196
0.775161,0.493464
0.777302,0.526552
0.779443,0.559641
0.781585,0.585784
0.783726,0.611928
0.785867,0.500000
0.788009,0.658497
0.790150,0.687092
0.792291,0.696895
0.794433,0.710852
0.796574,0.722733
0.798715,0.734613
0.800857,0.746494
0.802998,0.758374
0.805139,0.770255
0.807281,0.782135
0.809422,0.794016
0.811563,0.805896
0.813704,0.817776
0.815846,0.829657
0.817987,0.832925
0.820128,0.835376
0.822270,0.839869
0.824411,0.844363
0.826552,0.848075
0.828694,0.852124
0.830835,0.855392
0.832976,0.857843
0.835118,0.860703
0.837259,0.863562
0.839400,0.866013
0.841542,0.868464
0.843683,0.870507
0.845824,0.872141
0.847966,0.873775
0.850107,0.875408
0.852248,0.877042
0.854390,0.879493
0.856531,0.880719
0.858672,0.881944
0.860814,0.883170
0.862955,0.884395
0.865096,0.885212
0.867238,0.886029
0.869379,0.886846
0.871520,0.886846
0.873662,0.887663
0.875803,0.888480
0.877944,0.890114
0.880086,0.891340
0.882227,0.892565
0.884368,0.893382
0.886510,0.894199
0.888651,0.895425
0.890792,0.896650
0.892934,0.897467
0.895075,0.898284
0.897216,0.899510
0.899358,0.900327
0.901499,0.901144
0.903640,0.901961
0.905782,0.902778
0.907923,0.903595
0.910064,0.904412
0.912206,0.904820
0.914347,0.905637
0.916488,0.906046
0.918630,0.906046
0.920771,0.906863
0.922912,0.907680
0.925054,0.908497
0.927195,0.908905
0.929336,0.909722
0.931478,0.910131
0.933619,0.910948
0.935760,0.911356
0.937901,0.911765
0.940043,0.912582
0.942184,0.913399
0.944325,0.913807
0.946467,0.914216
0.948608,0.915033
0.950749,0.915441
0.952891,0.915850
0.955032,0.916258
0.957173,0.916258
0.959315,0.917075
0.961456,0.917075
0.963597,0.917484
0.965739,0.917892
0.967880,0.917892
0.970021,0.918301
0.972163,0.918709
0.974304,0.918709
0.976445,0.919118
0.978587,0.919526
0.980728,0.919526
0.982869,0.919935
0.985011,0.920343
0.987152,0.920343
0.989293,0.920343
