x_relative,y_relative
0.000000,0.981053
0.001252,0.981053
0.002503,0.976316
0.003755,0.971579
0.005006,0.966842
0.006258,0.962105
0.007509,0.961579
0.008761,0.961053
0.010013,0.960526
0.011264,0.960000
0.012516,0.959298
0.013767,0.958596
0.015019,0.957895
0.016270,0.957368
0.017522,0.956842
0.018773,0.956316
0.020025,0.955789
0.021277,0.961404
0.022528,0.967018
0.023780,0.972632
0.025031,0.970526
0.026283,0.974737
0.027534,0.974035
0.028786,0.973333
0.030038,0.972632
0.031289,0.971930
0.032541,0.971228
0.033792,0.970526
0.035044,0.949474
0.036295,0.953684
0.037547,0.968421
0.038798,0.966316
0.040050,0.957895
0.041302,0.949474
0.042553,0.951579
0.043805,0.953684
0.045056,0.955789
0.046308,0.949474
0.047559,0.946316
0.048811,0.943158
0.050063,0.947368
0.051314,0.945263
0.052566,0.943158
0.053817,0.964211
0.055069,0.962105
0.056320,0.943158
0.057572,0.942456
0.058824,0.941754
0.060075,0.941053
0.061327,0.960000
0.062578,0.952281
0.063830,0.944561
0.065081,0.936842
0.066333,0.946316
0.067584,0.955789
0.068836,0.932632
0.070088,0.936842
0.071339,0.933684
0.072591,0.930526
0.073842,0.934737
0.075094,0.973684
0.076345,0.950526
0.077597,0.941053
0.078849,0.936842
0.080100,0.932632
0.081352,0.928421
0.082603,0.943158
0.083855,0.924211
0.085106,0.945263
0.086358,0.924211
0.087610,0.923158
0.088861,0.922105
0.090113,0.931579
0.091364,0.941053
0.092616,0.917895
0.093867,0.938947
0.095119,0.913684
0.096370,0.957895
0.097622,0.935789
0.098874,0.913684
0.100125,0.926316
0.101377,0.938947
0.102628,0.911579
0.103880,0.926316
0.105131,0.941053
0.106383,0.907368
0.107635,0.923158
0.108886,0.932632
0.110138,0.909474
0.111389,0.903158
0.112641,0.907368
0.113892,0.905263
0.115144,0.930526
0.116395,0.903158
0.117647,0.896842
0.118899,0.901053
0.120150,0.900000
0.121402,0.898947
0.122653,0.896842
0.123905,0.894737
0.125156,0.928421
0.126408,0.890526
0.127660,0.910526
0.128911,0.899474
0.130163,0.888421
0.131414,0.892632
0.132666,0.891228
0.133917,0.889825
0.135169,0.888421
0.136421,0.928421
0.137672,0.928421
0.138924,0.926316
0.140175,0.924211
0.141427,0.888421
0.142678,0.906316
0.143930,0.924211
0.145181,0.884211
0.146433,0.901053
0.147685,0.917895
0.148936,0.884211
0.150188,0.915789
0.151439,0.995789
0.152691,0.877895
0.153942,0.891579
0.155194,0.892632
0.156446,0.871579
0.157697,0.872632
0.158949,0.873684
0.160200,0.884211
0.161452,0.871579
0.162703,0.867368
0.163955,0.883158
0.165207,0.867368
0.166458,0.865263
0.167710,0.863158
0.168961,0.861053
0.170213,0.852632
0.171464,0.856842
0.172716,0.851579
0.173967,0.852632
0.175219,0.847368
0.176471,0.866316
0.177722,0.862105
0.178974,0.866316
0.180225,0.844211
0.181477,0.843158
0.182728,0.842105
0.183980,0.855789
0.185232,0.840000
0.186483,0.835789
0.187735,0.852632
0.188986,0.832632
0.190238,0.830526
0.191489,0.827368
0.192741,0.829474
0.193992,0.823158
0.195244,0.848421
0.196496,0.821053
0.197747,0.818947
0.198999,0.867368
0.200250,0.814737
0.201502,0.810526
0.202753,0.808421
0.204005,0.806316
0.205257,0.802105
0.206508,0.806316
0.207760,0.804211
0.209011,0.797895
0.210263,0.802105
0.211514,0.800000
0.212766,0.797895
0.214018,0.792632
0.215269,0.793684
0.216521,0.789474
0.217772,0.814737
0.219024,0.784211
0.220275,0.785263
0.221527,0.810526
0.222778,0.781053
0.224030,0.778947
0.225282,0.776842
0.226533,0.827368
0.227785,0.798947
0.229036,0.821053
0.230288,0.768421
0.231539,0.763158
0.232791,0.764211
0.234043,0.762105
0.235294,0.757895
0.236546,0.782105
0.237797,0.755789
0.239049,0.753684
0.240300,0.793684
0.241552,0.783158
0.242804,0.764211
0.244055,0.745263
0.245307,0.743158
0.246558,0.736842
0.247810,0.738947
0.249061,0.730526
0.250313,0.730526
0.251564,0.747368
0.252816,0.755789
0.254068,0.722105
0.255319,0.720000
0.256571,0.736842
0.257822,0.722105
0.259074,0.704211
0.260325,0.700000
0.261577,0.701053
0.262829,0.695789
0.264080,0.690526
0.265332,0.694737
0.266583,0.686316
0.267835,0.680000
0.269086,0.675789
0.270338,0.678947
0.271589,0.676842
0.272841,0.669474
0.274093,0.665263
0.275344,0.668421
0.276596,0.656842
0.277847,0.653684
0.279099,0.652632
0.280350,0.650526
0.281602,0.643158
0.282854,0.638947
0.284105,0.635789
0.285357,0.635789
0.286608,0.623158
0.287860,0.616842
0.289111,0.609474
0.290363,0.608421
0.291615,0.606316
0.292866,0.600000
0.294118,0.591579
0.295369,0.589474
0.296621,0.581053
0.297872,0.580000
0.299124,0.580526
0.300375,0.581053
0.301627,0.578947
0.302879,0.576842
0.304130,0.633684
0.305382,0.784211
0.306633,0.637895
0.307885,0.638947
0.309136,0.570526
0.310388,0.609474
0.311640,0.648421
0.312891,0.565263
0.314143,0.563158
0.315394,0.564211
0.316646,0.562105
0.317897,0.747368
0.319149,0.746667
0.320401,0.745965
0.321652,0.745263
0.322904,0.383158
0.324155,0.381053
0.325407,0.425263
0.326658,0.469474
0.327910,0.513684
0.329161,0.557895
0.330413,0.556316
0.331665,0.554737
0.332916,0.555789
0.334168,0.733684
0.335419,0.734737
0.336671,0.720000
0.337922,0.630526
0.339174,0.541053
0.340426,0.540000
0.341677,0.706316
0.342929,0.692632
0.344180,0.531579
0.345432,0.692632
0.346683,0.682105
0.347935,0.583158
0.349186,0.438421
0.350438,0.293684
0.351690,0.524211
0.352941,0.451579
0.354193,0.357895
0.355444,0.287368
0.356696,0.580000
0.357947,0.465263
0.359199,0.570526
0.360451,0.571579
0.361702,0.568421
0.362954,0.607368
0.364205,0.565263
0.365457,0.563158
0.366708,0.561053
0.367960,0.328421
0.369212,0.326316
0.370463,0.325263
0.371715,0.466316
0.372966,0.557895
0.374218,0.436842
0.375469,0.556842
0.376721,0.555789
0.377972,0.550526
0.379224,0.604211
0.380476,0.380000
0.381727,0.595789
0.382979,0.315789
0.384230,0.543158
0.385482,0.541053
0.386733,0.320000
0.387985,0.530526
0.389237,0.520000
0.390488,0.515789
0.391740,0.511579
0.392991,0.511579
0.394243,0.511579
0.395494,0.507368
0.396746,0.503158
0.397997,0.501053
0.399249,0.652632
0.400501,0.656140
0.401752,0.659649
0.403004,0.663158
0.404255,0.498947
0.405507,0.490526
0.406758,0.492632
0.408010,0.485263
0.409262,0.486316
0.410513,0.480000
0.411765,0.484211
0.413016,0.675789
0.414268,0.514737
0.415519,0.353684
0.416771,0.355789
0.418023,0.357895
0.419274,0.514737
0.420526,0.673684
0.421777,0.351579
0.423029,0.677895
0.424280,0.674737
0.425532,0.671579
0.426783,0.349474
0.428035,0.510526
0.429287,0.665263
0.430538,0.508421
0.431790,0.256842
0.433041,0.658947
0.434293,0.175789
0.435544,0.663158
0.436796,0.504211
0.438048,0.345263
0.439299,0.343158
0.440551,0.503158
0.441802,0.436316
0.443054,0.369474
0.444305,0.343158
0.445557,0.343158
0.446809,0.257895
0.448060,0.562105
0.449312,0.258947
0.450563,0.498947
0.451815,0.174737
0.453066,0.343158
0.454318,0.654737
0.455569,0.555789
0.456821,0.449474
0.458073,0.396316
0.459324,0.343158
0.460576,0.654737
0.461827,0.497895
0.463079,0.341053
0.464330,0.656842
0.465582,0.343158
0.466834,0.654737
0.468085,0.495789
0.469337,0.495789
0.470588,0.495789
0.471840,0.341053
0.473091,0.450526
0.474343,0.492632
0.475594,0.570526
0.476846,0.648421
0.478098,0.594737
0.479349,0.541053
0.480601,0.487368
0.481852,0.601053
0.483104,0.643158
0.484355,0.485789
0.485607,0.328421
0.486859,0.482105
0.488110,0.483158
0.489362,0.640000
0.490613,0.586316
0.491865,0.532632
0.493116,0.478947
0.494368,0.322105
0.495620,0.326316
0.496871,0.315789
0.498123,0.320000
0.499374,0.625263
0.500626,0.629474
0.501877,0.322105
0.503129,0.623158
0.504380,0.315789
0.505632,0.334386
0.506884,0.352982
0.508135,0.371579
0.509387,0.560000
0.510638,0.564211
0.511890,0.178947
0.513141,0.471579
0.514393,0.180000
0.515645,0.402105
0.516896,0.174737
0.518148,0.246316
0.519399,0.173684
0.520651,0.171579
0.521902,0.432632
0.523154,0.560000
0.524406,0.167368
0.525657,0.394737
0.526909,1.000000
0.528160,0.307368
0.529412,0.166316
0.530663,0.431579
0.531915,0.161053
0.533166,0.233684
0.534418,0.355789
0.535670,0.307368
0.536921,0.157895
0.538173,0.547368
0.539424,0.301053
0.540676,0.549474
0.541927,0.424211
0.543179,0.541053
0.544431,0.545263
0.545682,0.538947
0.546934,0.536842
0.548185,0.541053
0.549437,0.568421
0.550688,0.532632
0.551940,0.533684
0.553191,0.534737
0.554443,0.426316
0.555695,0.528421
0.556946,0.208421
0.558198,0.417895
0.559449,0.250526
0.560701,0.390526
0.561952,0.233684
0.563204,0.231579
0.564456,0.396842
0.565707,0.225263
0.566959,0.214737
0.568210,0.382105
0.569462,0.177895
0.570713,0.168421
0.571965,0.141053
0.573217,0.111579
0.574468,0.096842
0.575720,0.093684
0.576971,0.058947
0.578223,0.044211
0.579474,0.083158
0.580726,0.106316
0.581977,0.223158
0.583229,0.271579
0.584481,0.326316
0.585732,0.518947
0.586984,0.537895
0.588235,0.178947
0.589487,0.370526
0.590738,0.172632
0.591990,0.277895
0.593242,0.168421
0.594493,0.375789
0.595745,0.583158
0.596996,0.768421
0.598248,0.566316
0.599499,0.566316
0.600751,0.564211
0.602003,0.746316
0.603254,0.367368
0.604506,0.559474
0.605757,0.751579
0.607009,0.758947
0.608260,0.770526
0.609512,0.098947
0.610763,0.196842
0.612015,0.191579
0.613267,0.580000
0.614518,0.384211
0.615770,0.581053
0.617021,0.777895
0.618273,0.387368
0.619524,0.588421
0.620776,0.789474
0.622028,0.797895
0.623279,0.733333
0.624531,0.668772
0.625782,0.604211
0.627034,0.597895
0.628285,0.392632
0.629537,0.381053
0.630788,0.800000
0.632040,0.793684
0.633292,0.791579
0.634543,0.789474
0.635795,0.221053
0.637046,0.224211
0.638298,0.214737
0.639549,0.298947
0.640801,0.203158
0.642053,0.198947
0.643304,0.595789
0.644556,0.494737
0.645807,0.393684
0.647059,0.391579
0.648310,0.602105
0.649562,0.812632
0.650814,0.742456
0.652065,0.672281
0.653317,0.602105
0.654568,0.708421
0.655820,0.814737
0.657071,0.604211
0.658323,0.393684
0.659574,0.603158
0.660826,0.550789
0.662078,0.498421
0.663329,0.446053
0.664581,0.393684
0.665832,0.401579
0.667084,0.409474
0.668335,0.606316
0.669587,0.277895
0.670839,0.609474
0.672090,0.402105
0.673342,0.644211
0.674593,0.808421
0.675845,0.606316
0.677096,0.404211
0.678348,0.402105
0.679599,0.806316
0.680851,0.804211
0.682103,0.805263
0.683354,0.603158
0.684606,0.404211
0.685857,0.601053
0.687109,0.797895
0.688360,0.397895
0.689612,0.650526
0.690864,0.646316
0.692115,0.795789
0.693367,0.400000
