x_relative,y_relative
0.000000,0.431478
0.001256,0.431478
0.002513,0.431478
0.003769,0.431478
0.005025,0.432013
0.006281,0.432548
0.007538,0.432548
0.008794,0.431478
0.010050,0.432548
0.011307,0.432548
0.012563,0.421306
0.013819,0.410064
0.015075,0.370450
0.016332,0.368308
0.017588,0.366167
0.018844,0.366167
0.020101,0.366167
0.021357,0.366167
0.022613,0.366167
0.023869,0.366167
0.025126,0.368308
0.026382,0.368308
0.027638,0.370450
0.028894,0.428266
0.030151,0.427730
0.031407,0.427195
0.032663,0.427195
0.033920,0.427195
0.035176,0.427195
0.036432,0.427195
0.037688,0.427195
0.038945,0.427195
0.040201,0.427195
0.041457,0.427195
0.042714,0.427195
0.043970,0.427195
0.045226,0.427195
0.046482,0.427195
0.047739,0.427195
0.048995,0.427195
0.050251,0.428266
0.051508,0.429336
0.052764,0.429336
0.054020,0.429336
0.055276,0.429336
0.056533,0.429872
0.057789,0.430407
0.059045,0.430407
0.060302,0.429336
0.061558,0.429336
0.062814,0.428266
0.064070,0.428266
0.065327,0.427195
0.066583,0.426124
0.067839,0.426124
0.069095,0.427195
0.070352,0.428266
0.071608,0.427195
0.072864,0.428266
0.074121,0.428266
0.075377,0.428266
0.076633,0.430407
0.077889,0.430407
0.079146,0.429336
0.080402,0.429336
0.081658,0.429336
0.082915,0.428266
0.084171,0.429336
0.085427,0.427195
0.086683,0.428266
0.087940,0.428266
0.089196,0.428266
0.090452,0.427195
0.091709,0.427195
0.092965,0.428266
0.094221,0.428266
0.095477,0.427195
0.096734,0.427195
0.097990,0.427195
0.099246,0.427195
0.100503,0.428266
0.101759,0.428266
0.103015,0.427195
0.104271,0.427195
0.105528,0.427195
0.106784,0.427195
0.108040,0.428266
0.109296,0.429336
0.110553,0.429336
0.111809,0.428266
0.113065,0.428266
0.114322,0.428266
0.115578,0.428266
0.116834,0.427195
0.118090,0.427195
0.119347,0.427195
0.120603,0.426124
0.121859,0.426124
0.123116,0.426124
0.124372,0.425054
0.125628,0.426124
0.126884,0.426124
0.128141,0.426124
0.129397,0.425054
0.130653,0.425054
0.131910,0.426124
0.133166,0.425054
0.134422,0.423983
0.135678,0.423983
0.136935,0.422912
0.138191,0.422912
0.139447,0.422912
0.140704,0.421842
0.141960,0.421842
0.143216,0.420771
0.144472,0.420771
0.145729,0.420771
0.146985,0.419700
0.148241,0.419700
0.149497,0.418630
0.150754,0.419700
0.152010,0.419700
0.153266,0.419700
0.154523,0.419700
0.155779,0.419700
0.157035,0.419700
0.158291,0.418630
0.159548,0.417559
0.160804,0.417559
0.162060,0.417693
0.163317,0.417827
0.164573,0.417960
0.165829,0.418094
0.167085,0.418228
0.168342,0.418362
0.169598,0.418496
0.170854,0.418630
0.172111,0.418161
0.173367,0.417693
0.174623,0.417224
0.175879,0.416756
0.177136,0.416287
0.178392,0.415819
0.179648,0.415351
0.180905,0.414882
0.182161,0.414414
0.183417,0.413945
0.184673,0.413477
0.185930,0.413009
0.187186,0.412540
0.188442,0.412072
0.189698,0.411603
0.190955,0.411135
0.192211,0.410934
0.193467,0.410733
0.194724,0.410533
0.195980,0.410332
0.197236,0.410131
0.198492,0.409930
0.199749,0.409730
0.201005,0.409529
0.202261,0.409328
0.203518,0.409127
0.204774,0.408927
0.206030,0.408726
0.207286,0.408525
0.208543,0.408324
0.209799,0.408124
0.211055,0.407923
0.212312,0.407923
0.213568,0.407923
0.214824,0.407923
0.216080,0.407120
0.217337,0.406317
0.218593,0.405514
0.219849,0.404711
0.221106,0.403908
0.222362,0.403105
0.223618,0.402302
0.224874,0.401499
0.226131,0.401499
0.227387,0.401499
0.228643,0.401499
0.229899,0.401499
0.231156,0.399358
0.232412,0.397216
0.233668,0.397216
0.234925,0.396146
0.236181,0.397216
0.237437,0.397216
0.238693,0.391863
0.239950,0.391863
0.241206,0.390792
0.242462,0.391863
0.243719,0.391863
0.244975,0.390792
0.246231,0.390792
0.247487,0.389722
0.248744,0.387580
0.250000,0.384368
0.251256,0.383298
0.252513,0.383298
0.253769,0.379015
0.255025,0.379015
0.256281,0.377944
0.257538,0.377944
0.258794,0.375803
0.260050,0.373662
0.261307,0.373662
0.262563,0.371520
0.263819,0.368308
0.265075,0.367238
0.266332,0.367238
0.267588,0.365096
0.268844,0.361884
0.270101,0.360814
0.271357,0.360814
0.272613,0.359743
0.273869,0.359743
0.275126,0.359743
0.276382,0.359743
0.277638,0.361884
0.278894,0.362955
0.280151,0.362955
0.281407,0.364026
0.282663,0.366167
0.283920,0.367238
0.285176,0.367238
0.286432,0.368308
0.287688,0.368308
0.288945,0.367238
