x_relative,y_relative
0.001546,0.156355
0.003091,0.156355
0.004637,0.157191
0.006182,0.157191
0.007728,0.153428
0.009274,0.149666
0.010819,0.145903
0.012365,0.142140
0.013910,0.138378
0.015456,0.137751
0.017002,0.137124
0.018547,0.136497
0.020093,0.135870
0.021638,0.135242
0.023184,0.134615
0.024730,0.135452
0.026275,0.136288
0.027821,0.137124
0.029366,0.138796
0.030912,0.140468
0.032457,0.142140
0.034003,0.147993
0.035549,0.149666
0.037094,0.151338
0.038640,0.160535
0.040185,0.162207
0.041731,0.162207
0.043277,0.160535
0.044822,0.134615
0.046368,0.134615
0.047913,0.161371
0.049459,0.188127
0.051005,0.188127
0.052550,0.188127
0.054096,0.188127
0.055641,0.188127
0.057187,0.158863
0.058733,0.158027
0.060278,0.142977
0.061824,0.127926
0.063369,0.127090
0.064915,0.127926
0.066461,0.127926
0.068006,0.131271
0.069552,0.134615
0.071097,0.137960
0.072643,0.141304
0.074189,0.144649
0.075734,0.141304
0.077280,0.186455
0.078825,0.218227
0.080371,0.218227
0.081917,0.218227
0.083462,0.218227
0.085008,0.218227
0.086553,0.218227
0.088099,0.229933
0.089645,0.229933
0.091190,0.219064
0.092736,0.219064
0.094281,0.218227
0.095827,0.219064
0.097372,0.219064
0.098918,0.219064
0.100464,0.231605
0.102009,0.232441
0.103555,0.220736
0.105100,0.220736
0.106646,0.219900
0.108192,0.219900
0.109737,0.219900
0.111283,0.219900
0.112828,0.234950
0.114374,0.221572
0.115920,0.221572
0.117465,0.229097
0.119011,0.229933
0.120556,0.230769
0.122102,0.232441
0.123648,0.235786
0.125193,0.226589
0.126739,0.227425
0.128284,0.232023
0.129830,0.236622
0.131376,0.241221
0.132921,0.245819
0.134467,0.250418
0.136012,0.255017
0.137558,0.255853
0.139104,0.256689
0.140649,0.274247
0.142195,0.277592
0.143740,0.279264
0.145286,0.282609
0.146832,0.285953
0.148377,0.289298
0.149923,0.294314
0.151468,0.297659
0.153014,0.304348
0.154560,0.314381
0.156105,0.336120
0.157651,0.366221
0.159196,0.377926
0.160742,0.409699
0.162287,0.453177
0.163833,0.476589
0.165379,0.478261
0.166924,0.520067
0.168470,0.543478
0.170015,0.568562
0.171561,0.598662
0.173107,0.633779
0.174652,0.635452
0.176198,0.635452
0.177743,0.637124
0.179289,0.635452
0.180835,0.630435
0.182380,0.612040
0.183926,0.586957
0.185471,0.558528
0.187017,0.515050
0.188563,0.486622
0.190108,0.444816
0.191654,0.416388
0.193199,0.397993
0.194745,0.347826
0.196291,0.332776
0.197836,0.307692
0.199382,0.282609
0.200927,0.277592
0.202473,0.267559
0.204019,0.255853
0.205564,0.254181
0.207110,0.224080
0.208655,0.224080
0.210201,0.224080
0.211747,0.245819
0.213292,0.244983
0.214838,0.243311
0.216383,0.241639
0.217929,0.241639
0.219474,0.239967
0.221020,0.239967
0.222566,0.239967
0.224111,0.239967
0.225657,0.239967
0.227202,0.239967
0.228748,0.239967
0.230294,0.223244
0.231839,0.223244
0.233385,0.223244
0.234930,0.223244
0.236476,0.223244
0.238022,0.223244
0.239567,0.223244
0.241113,0.239967
0.242658,0.239967
0.244204,0.239967
0.245750,0.223244
0.247295,0.223244
0.248841,0.223244
0.250386,0.223244
0.251932,0.223244
0.253478,0.223244
0.255023,0.239967
0.256569,0.239967
0.258114,0.239967
0.259660,0.220736
0.261206,0.220736
0.262751,0.220736
0.264297,0.220736
0.265842,0.220736
0.267388,0.220736
0.268934,0.220736
0.270479,0.238294
0.272025,0.238294
0.273570,0.220736
0.275116,0.220736
0.276662,0.220736
0.278207,0.221572
0.279753,0.221572
0.281298,0.221572
0.282844,0.221572
0.284389,0.221572
0.285935,0.239130
0.287481,0.220736
0.289026,0.220736
0.290572,0.221572
0.292117,0.221572
0.293663,0.221572
0.295209,0.221572
0.296754,0.221572
0.298300,0.239967
0.299845,0.222408
0.301391,0.222408
0.302937,0.221572
0.304482,0.221572
0.306028,0.221572
0.307573,0.221572
0.309119,0.221572
0.310665,0.221572
0.312210,0.239967
0.313756,0.239967
0.315301,0.223244
0.316847,0.223244
0.318393,0.223244
0.319938,0.223244
0.321484,0.223244
0.323029,0.223244
0.324575,0.223244
0.326121,0.223244
0.327666,0.239967
0.329212,0.239967
0.330757,0.239967
0.332303,0.224080
0.333849,0.224080
0.335394,0.224916
0.336940,0.224916
0.338485,0.224916
0.340031,0.224916
0.341577,0.224916
0.343122,0.240803
0.344668,0.241639
0.346213,0.225753
0.347759,0.225753
0.349304,0.224916
0.350850,0.224916
0.352396,0.225753
0.353941,0.224916
0.355487,0.224916
0.357032,0.224916
0.358578,0.241639
0.360124,0.225753
0.361669,0.225753
0.363215,0.224916
0.364760,0.224916
0.366306,0.224916
0.367852,0.224916
0.369397,0.225753
0.370943,0.225753
0.372488,0.243311
0.374034,0.226589
0.375580,0.226589
0.377125,0.226589
0.378671,0.226589
0.380216,0.226589
0.381762,0.226589
0.383308,0.226589
0.384853,0.226589
0.386399,0.244983
0.387944,0.226589
0.389490,0.226589
0.391036,0.226589
0.392581,0.226589
0.394127,0.226589
0.395672,0.226589
0.397218,0.226589
0.398764,0.226589
0.400309,0.245819
0.401855,0.229097
0.403400,0.229097
0.404946,0.228261
0.406491,0.228261
0.408037,0.228261
0.409583,0.228261
0.411128,0.229097
0.412674,0.229097
0.414219,0.229933
0.415765,0.230769
0.417311,0.229933
0.418856,0.230769
0.420402,0.230769
0.421947,0.231605
0.423493,0.231605
0.425039,0.231605
0.426584,0.248328
0.428130,0.232441
0.429675,0.232441
0.431221,0.233278
0.432767,0.233278
0.434312,0.233278
0.435858,0.233278
0.437403,0.233278
0.438949,0.250000
0.440495,0.250000
0.442040,0.250000
0.443586,0.234114
0.445131,0.233278
0.446677,0.232441
0.448223,0.232441
0.449768,0.233278
0.451314,0.233278
0.452859,0.233278
0.454405,0.251672
0.455951,0.238294
0.457496,0.245819
0.459042,0.246656
0.460587,0.247492
0.462133,0.262542
0.463679,0.265886
0.465224,0.270903
0.466770,0.274247
0.468315,0.247492
0.469861,0.249164
0.471406,0.263796
0.472952,0.278428
0.474498,0.280936
0.476043,0.283445
0.477589,0.285953
0.479134,0.288462
0.480680,0.289298
0.482226,0.289298
0.483771,0.288462
0.485317,0.255853
0.486862,0.250836
0.488408,0.247492
0.489954,0.280936
0.491499,0.279264
0.493045,0.275920
0.494590,0.240803
0.496136,0.240803
0.497682,0.240803
0.499227,0.251672
0.500773,0.262542
0.502318,0.256480
0.503864,0.250418
0.505410,0.244356
0.506955,0.238294
0.508501,0.238294
0.510046,0.238294
0.511592,0.238294
0.513138,0.238294
0.514683,0.258361
0.516229,0.258361
0.517774,0.258361
0.519320,0.238294
0.520866,0.238294
0.522411,0.238294
0.523957,0.238294
