x_relative,y_relative
0.000000,0.434322
0.001255,0.457627
0.002509,0.433263
0.003764,0.433263
0.005019,0.433263
0.006274,0.433263
0.007528,0.433263
0.008783,0.457627
0.010038,0.434322
0.011292,0.434322
0.012547,0.433263
0.013802,0.434322
0.015056,0.434322
0.016311,0.423199
0.017566,0.412076
0.018821,0.372881
0.020075,0.370763
0.021330,0.368644
0.022585,0.368644
0.023839,0.368644
0.025094,0.368644
0.026349,0.368644
0.027604,0.368644
0.028858,0.370763
0.030113,0.370763
0.031368,0.372881
0.032622,0.430085
0.033877,0.429555
0.035132,0.429025
0.036386,0.429025
0.037641,0.429025
0.038896,0.429025
0.040151,0.429025
0.041405,0.429025
0.042660,0.429025
0.043915,0.429025
0.045169,0.429025
0.046424,0.429025
0.047679,0.429025
0.048934,0.429025
0.050188,0.429025
0.051443,0.429025
0.052698,0.429025
0.053952,0.430085
0.055207,0.431144
0.056462,0.431144
0.057716,0.431144
0.058971,0.431144
0.060226,0.431674
0.061481,0.432203
0.062735,0.432203
0.063990,0.431144
0.065245,0.431144
0.066499,0.430085
0.067754,0.430085
0.069009,0.429025
0.070263,0.427966
0.071518,0.427966
0.072773,0.429025
0.074028,0.430085
0.075282,0.429025
0.076537,0.430085
0.077792,0.430085
0.079046,0.430085
0.080301,0.432203
0.081556,0.432203
0.082811,0.431144
0.084065,0.431144
0.085320,0.431144
0.086575,0.430085
0.087829,0.431144
0.089084,0.429025
0.090339,0.430085
0.091593,0.430085
0.092848,0.430085
0.094103,0.429025
0.095358,0.429025
0.096612,0.430085
0.097867,0.430085
0.099122,0.429025
0.100376,0.429025
0.101631,0.429025
0.102886,0.429025
0.104141,0.430085
0.105395,0.430085
0.106650,0.429025
0.107905,0.429025
0.109159,0.429025
0.110414,0.429025
0.111669,0.451271
0.112923,0.431144
0.114178,0.431144
0.115433,0.430085
0.116688,0.430085
0.117942,0.430085
0.119197,0.430085
0.120452,0.429025
0.121706,0.429025
0.122961,0.429025
0.124216,0.427966
0.125471,0.427966
0.126725,0.427966
0.127980,0.426907
0.129235,0.427966
0.130489,0.427966
0.131744,0.427966
0.132999,0.426907
0.134253,0.426907
0.135508,0.427966
0.136763,0.426907
0.138018,0.425847
0.139272,0.425847
0.140527,0.424788
0.141782,0.424788
0.143036,0.424788
0.144291,0.423729
0.145546,0.423729
0.146801,0.422669
0.148055,0.422669
0.149310,0.422669
0.150565,0.421610
0.151819,0.421610
0.153074,0.420551
