x,y
0.00,3.08
0.00,2.31
0.00,2.31
0.00,2.31
0.00,2.31
0.00,2.31
0.00,2.31
0.00,2.31
0.00,2.31
0.00,2.31
0.00,2.31
0.00,2.31
0.00,2.31
0.00,2.31
0.00,2.31
0.00,2.31
0.00,2.31
0.00,2.31
0.00,3.08
0.00,3.08
0.00,3.08
0.00,3.08
0.00,3.08
0.00,3.08
0.00,3.08
0.00,3.08
0.00,3.08
0.00,3.08
0.00,3.08
0.00,3.08
0.00,3.08
0.00,3.08
0.00,3.08
0.00,3.08
0.00,3.08
0.12,2.31
0.24,3.08
0.47,2.31
0.59,3.08
0.83,2.31
0.95,3.08
1.18,2.31
1.30,3.08
1.54,2.31
1.66,3.08
1.89,2.31
2.01,3.08
2.25,2.31
2.37,3.08
2.60,2.57
2.72,3.08
2.96,2.31
3.08,3.08
3.31,2.57
3.43,3.08
3.67,2.57
3.79,3.08
4.02,2.57
4.14,3.08
4.38,2.57
4.50,3.08
4.73,2.57
4.85,3.08
5.09,2.57
5.21,3.08
5.44,2.57
5.56,3.08
5.80,2.57
5.92,3.08
6.15,2.57
6.27,3.08
6.51,2.31
6.63,3.08
6.86,2.31
6.98,2.83
7.22,2.31
7.34,2.83
7.57,2.31
7.69,2.83
7.93,2.31
8.05,2.83
8.28,2.31
8.40,2.83
8.64,2.31
8.76,2.83
8.99,2.31
9.11,2.83
9.35,2.31
9.47,3.08
9.70,2.31
9.82,3.08
10.06,2.31
10.18,3.08
10.41,2.31
10.53,3.08
10.77,2.31
10.89,3.08
11.12,2.31
11.24,3.08
11.48,2.31
11.60,3.08
11.83,2.31
11.95,3.08
12.19,2.31
12.31,3.08
12.54,2.31
12.66,3.08
12.90,2.31
13.02,3.08
13.25,2.31
13.37,3.08
13.61,2.31
13.73,3.08
13.96,2.31
14.08,3.08
14.32,2.31
14.44,3.08
14.67,2.31
14.79,3.08
15.03,2.31
15.15,3.08
15.38,2.31
15.50,3.08
15.74,2.31
15.86,3.08
16.09,2.31
16.21,3.08
16.45,2.31
16.57,3.08
16.80,2.31
16.92,3.08
17.16,2.31
17.28,3.08
17.51,2.31
17.63,3.08
17.87,2.31
17.99,3.08
18.22,2.31
18.34,3.08
18.58,2.57
18.70,3.08
18.93,2.31
19.05,3.08
19.29,2.06
19.41,2.83
19.64,2.06
19.76,2.83
20.00,2.31
20.12,2.83
20.36,2.31
20.47,2.83
20.71,2.31
20.83,2.83
21.07,2.31
21.18,3.08
21.42,2.31
21.54,2.83
21.78,2.31
21.89,2.83
22.13,2.31
22.25,2.83
22.49,2.31
22.60,2.83
22.84,2.31
22.96,3.08
23.20,2.31
23.31,3.08
23.55,2.31
23.67,3.08
23.91,2.31
24.02,3.08
24.26,2.31
24.38,3.08
24.62,2.31
24.73,3.08
24.97,2.31
25.09,3.08
25.33,2.31
25.44,3.08
25.68,2.31
25.80,3.08
26.04,2.31
26.15,3.08
26.39,2.31
26.51,3.08
26.75,2.31
26.86,3.08
27.10,2.31
27.22,3.08
27.46,2.31
27.57,3.08
27.81,2.31
27.93,3.08
28.17,2.31
28.28,3.08
28.52,2.31
28.64,3.08
28.88,2.31
28.99,3.08
29.23,2.31
29.35,3.08
29.59,2.31
29.70,3.08
29.94,2.31
30.06,3.08
30.30,2.31
30.41,3.08
30.65,2.31
30.77,3.08
31.01,2.31
31.12,3.08
31.36,2.31
31.48,3.08
31.72,2.31
31.83,2.83
32.07,2.06
32.19,2.83
32.43,2.06
32.54,2.83
32.78,2.06
32.90,2.83
33.14,2.06
33.25,2.83
33.49,2.06
33.61,2.83
33.85,2.06
33.96,2.83
34.20,2.06
34.32,2.83
34.56,2.06
34.67,2.83
34.91,2.06
35.03,2.83
35.27,2.31
35.38,2.83
35.62,2.31
35.74,2.83
35.98,2.31
36.09,2.83
36.33,2.31
36.45,2.83
36.69,2.31
36.80,2.83
37.04,2.31
37.16,2.83
37.40,2.31
37.51,2.83
37.75,2.31
37.87,2.83
38.11,2.31
38.22,2.83
38.46,2.31
38.58,2.83
38.82,2.31
38.93,2.83
39.17,2.31
39.29,2.83
39.53,2.31
39.64,2.83
39.88,2.31
40.00,3.08
40.24,2.31
40.36,2.83
40.59,2.31
40.71,3.08
40.95,2.31
41.07,3.08
41.30,2.31
41.42,3.08
41.66,2.31
41.78,3.08
42.01,2.31
42.13,3.08
42.37,2.31
42.49,3.08
42.72,2.31
42.84,3.08
43.08,2.31
43.20,3.08
43.43,2.31
43.55,3.08
43.79,2.31
43.91,3.08
44.14,2.31
44.26,3.08
44.50,2.06
44.62,2.83
44.85,2.06
44.97,2.83
45.21,2.06
45.33,2.83
45.56,2.06
45.68,2.83
45.92,2.06
46.04,2.83
46.27,2.06
46.39,2.83
46.63,2.31
46.75,2.83
46.98,2.31
47.10,2.83
47.34,2.31
47.46,2.83
47.69,2.31
47.81,2.83
48.05,2.06
48.17,2.83
48.40,2.06
48.52,2.83
48.76,2.31
48.88,2.83
49.11,2.31
49.23,2.83
49.47,2.31
49.59,2.83
49.82,2.31
49.94,2.83
50.18,2.31
50.30,2.83
50.53,2.31
50.65,2.83
50.89,2.31
51.01,2.83
51.24,2.31
51.36,2.83
51.60,2.31
51.72,2.83
51.95,2.31
52.07,2.83
52.31,2.31
52.43,2.83
52.66,2.31
52.78,2.83
53.02,2.31
53.14,2.83
53.37,2.31
53.49,2.83
53.73,2.31
53.85,3.08
54.08,2.31
54.20,2.83
54.44,2.31
54.56,3.08
54.79,2.31
54.91,3.08
55.15,2.31
55.27,3.08
55.50,2.31
55.62,3.08
55.86,2.31
55.98,3.08
56.21,2.31
56.33,3.08
56.57,2.31
56.69,3.08
56.92,2.06
57.04,2.83
57.28,2.06
57.40,2.83
57.63,2.06
57.75,2.83
57.99,2.06
58.11,2.83
58.34,2.06
58.46,2.83
58.70,2.06
58.82,2.83
59.05,2.06
59.17,2.83
59.41,2.06
59.53,2.83
59.76,2.06
59.88,2.83
60.12,2.06
60.24,2.83
60.47,2.06
60.59,2.83
60.83,2.06
60.95,2.83
61.18,2.06
61.30,2.83
61.54,2.06
61.66,2.83
61.89,2.06
62.01,2.83
62.25,2.06
62.37,2.83
62.60,2.06
62.72,2.83
62.96,2.31
63.08,2.83
63.31,2.31
63.43,2.83
63.67,2.31
63.79,2.83
64.02,2.31
64.14,2.83
64.38,2.31
64.50,2.83
64.73,2.31
64.85,2.83
65.09,2.31
65.21,2.83
65.44,2.31
65.56,2.83
65.80,2.31
65.92,2.83
66.15,2.31
66.27,2.83
66.51,2.31
66.63,3.08
66.86,2.31
66.98,3.08
67.22,2.31
67.34,2.83
67.57,2.31
67.69,3.08
67.93,2.31
68.05,3.08
68.28,2.31
68.40,3.08
68.64,2.31
68.76,3.08
68.99,2.31
69.11,3.08
69.35,2.06
69.47,2.83
69.70,2.06
69.82,2.83
70.06,2.06
70.18,2.83
70.41,2.06
70.53,2.83
70.77,2.06
70.89,2.83
71.12,2.06
71.24,2.83
71.48,2.06
71.60,2.83
71.83,2.06
71.95,2.83
72.19,2.06
72.31,2.83
72.54,2.06
72.66,2.83
72.90,2.31
73.02,2.83
73.25,2.06
73.37,2.83
73.61,2.31
73.73,2.83
73.96,2.31
74.08,2.83
74.32,2.31
74.44,2.83
74.67,2.31
74.79,2.83
75.03,2.31
75.15,2.83
75.38,2.06
75.50,2.83
75.74,2.31
75.86,2.83
76.09,2.31
76.21,2.83
76.45,2.31
76.57,2.83
76.80,2.31
76.92,2.83
77.16,2.31
77.28,2.83
77.51,2.31
77.63,3.08
77.87,2.31
77.99,3.08
78.22,2.31
78.34,3.08
78.58,2.31
78.70,3.08
78.93,2.31
79.05,3.08
79.29,2.31
79.41,3.08
79.64,2.31
79.76,3.08
80.00,2.31
80.12,3.08
80.36,2.31
80.47,3.08
80.71,2.31
80.83,3.08
81.07,2.31
81.18,3.08
81.42,2.31
81.54,3.08
81.78,2.31
81.89,3.08
82.13,2.06
82.25,2.83
82.49,2.06
82.60,2.83
82.84,2.06
82.96,2.83
83.20,2.06
83.31,2.83
83.55,2.06
83.67,2.83
83.91,2.06
84.02,2.83
84.26,2.06
84.38,2.83
84.62,2.06
84.73,2.83
84.97,2.31
85.09,2.83
85.33,2.31
85.44,2.83
85.68,2.06
85.80,2.83
86.04,2.06
86.15,2.83
86.39,2.06
86.51,2.83
86.75,2.06
86.86,2.83
87.10,2.06
87.22,2.83
87.46,2.06
87.57,2.83
87.81,2.31
87.93,2.83
88.17,2.31
88.28,2.83
88.52,2.31
88.64,2.83
88.88,2.31
88.99,2.83
89.23,2.31
89.35,2.83
89.59,2.31
89.70,2.83
89.94,2.31
90.06,2.83
90.30,2.31
90.41,3.08
90.65,2.31
90.77,3.08
91.01,2.31
91.12,3.08
91.36,2.31
91.48,3.08
91.72,2.31
91.83,3.08
92.07,2.31
92.19,3.08
92.43,2.31
92.54,3.08
92.78,2.31
92.90,3.08
93.14,2.31
93.25,3.08
93.49,2.31
93.61,3.08
93.85,2.31
93.96,3.08
94.20,2.31
94.32,3.08
94.56,2.06
94.67,2.83
94.91,2.06
95.03,2.83
95.27,2.06
95.38,2.83
95.62,2.06
95.74,2.83
95.98,2.31
96.09,2.83
96.33,2.31
96.45,2.83
96.69,2.31
96.80,2.83
97.04,2.31
97.16,2.83
97.40,2.31
97.51,2.83
97.75,2.31
97.87,2.83
98.11,2.31
98.22,2.83
98.46,2.31
98.58,2.83
98.82,2.31
98.93,2.83
99.17,2.31
99.29,2.83
99.53,2.31
99.64,2.83
99.88,2.31
100.00,2.31
100.00,2.31
100.00,2.31
100.00,2.31
100.00,2.31
100.00,2.31
100.00,2.31
100.00,2.31
100.00,2.31
100.00,2.31
100.00,2.31
100.00,2.31
100.00,2.31
100.00,2.31
100.00,2.31
100.00,2.31
100.00,2.57
100.00,3.08
100.00,3.08
100.00,3.08
100.00,3.08
