x,y
0.00,98.87
0.00,98.75
0.00,98.75
0.00,98.75
0.00,98.75
0.00,98.75
0.00,98.72
0.00,98.75
0.00,98.75
0.00,98.72
0.00,98.72
0.00,98.72
0.00,98.72
0.00,98.72
0.00,98.72
0.00,98.72
0.00,98.72
0.00,98.72
0.00,98.79
0.00,98.79
0.00,98.83
0.00,98.83
0.00,98.83
0.00,98.83
0.00,98.83
0.00,98.83
0.00,98.83
0.00,98.83
0.00,98.83
0.00,98.83
0.00,98.83
0.00,98.83
0.00,98.83
0.00,98.87
0.00,98.87
0.12,98.72
0.36,98.79
0.48,98.72
0.71,98.79
0.83,98.72
1.07,98.79
1.19,98.72
1.43,98.79
1.55,98.72
1.79,98.79
1.90,98.68
2.14,98.79
2.26,98.68
2.50,98.83
2.62,98.72
2.86,98.83
2.98,98.72
3.21,98.83
3.33,98.72
3.57,98.83
3.69,98.72
3.93,98.83
4.05,98.72
4.29,98.83
4.40,98.72
4.64,98.83
4.76,98.72
5.00,98.83
5.12,98.72
5.36,98.83
5.48,98.72
5.71,98.83
5.83,98.72
6.07,98.79
6.19,98.72
6.43,98.79
6.55,98.72
6.79,98.79
6.90,98.72
7.14,98.79
7.26,98.68
7.50,98.79
7.62,98.68
7.86,98.79
7.98,98.68
8.21,98.79
8.33,98.68
8.57,98.79
8.69,98.68
8.93,98.79
9.05,98.68
9.29,98.79
9.40,98.68
9.64,98.79
9.76,98.68
10.00,98.79
10.12,98.68
10.36,98.79
10.48,98.68
10.71,98.79
10.83,98.68
11.07,98.79
11.19,98.68
11.43,98.79
11.55,98.68
11.79,98.79
11.90,98.68
12.14,98.79
12.26,98.68
12.50,98.83
12.62,98.72
12.86,98.83
12.98,98.72
13.21,98.83
13.33,98.72
13.57,98.83
13.69,98.72
13.93,98.79
14.05,98.72
14.29,98.79
14.40,98.68
14.64,98.79
14.76,98.72
15.00,98.79
15.12,98.68
15.36,98.79
15.48,98.68
15.71,98.79
15.83,98.68
16.07,98.79
16.19,98.68
16.43,98.79
16.55,98.68
16.79,98.79
16.90,98.68
17.14,98.79
17.26,98.68
17.50,98.79
17.62,98.68
17.86,98.79
17.98,98.68
18.21,98.79
18.33,98.68
18.57,98.79
18.69,98.68
18.93,98.79
19.05,98.68
19.29,98.75
19.40,98.68
19.64,98.75
19.76,98.68
20.00,98.75
20.12,98.64
20.36,98.75
20.48,98.64
20.71,98.75
20.83,98.64
21.07,98.75
21.19,98.64
21.43,98.75
21.55,98.64
21.79,98.75
21.90,98.64
22.14,98.75
22.26,98.64
22.50,98.75
22.62,98.68
22.86,98.79
22.98,98.68
23.21,98.79
23.33,98.68
23.57,98.79
23.69,98.68
23.93,98.79
24.05,98.68
24.29,98.79
24.40,98.68
24.64,98.79
24.76,98.68
25.00,98.79
25.12,98.68
25.36,98.75
25.48,98.64
25.71,98.75
25.83,98.68
26.07,98.75
26.19,98.68
26.43,98.75
26.55,98.64
26.79,98.75
26.90,98.64
27.14,98.75
27.26,98.64
27.50,98.75
27.62,98.64
27.86,98.75
27.98,98.64
28.21,98.75
28.33,98.64
28.57,98.75
28.69,98.64
28.93,98.75
29.05,98.64
29.29,98.75
29.40,98.64
29.64,98.75
29.76,98.64
30.00,98.75
30.12,98.64
30.36,98.75
30.48,98.64
30.71,98.75
30.83,98.64
31.07,98.75
31.19,98.64
31.43,98.75
31.55,98.64
31.79,98.75
31.90,98.64
32.14,98.75
32.26,98.60
32.50,98.75
32.62,98.60
32.86,98.79
32.98,98.64
33.21,98.75
33.33,98.64
33.57,98.75
33.69,98.64
33.93,98.75
34.05,98.64
34.29,98.75
34.40,98.64
