v (cm^-1),intensity
767.263100,0.070231
764.847950,0.071279
762.432800,0.072327
760.017650,0.074423
757.602500,0.075472
755.187350,0.078616
752.772200,0.081761
750.358400,0.084906
747.943250,0.088050
745.528100,0.092243
743.112950,0.096436
740.697800,0.100629
738.282650,0.103774
735.867500,0.106918
733.452350,0.110063
731.037200,0.113208
728.622050,0.116352
726.206900,0.117400
723.793100,0.117400
721.377950,0.116352
718.962800,0.114256
716.547650,0.111111
714.132500,0.109015
711.717350,0.106918
709.302200,0.104822
706.887050,0.100629
704.471900,0.096436
702.056750,0.093291
699.641600,0.091195
697.227800,0.087002
694.812650,0.083857
692.397500,0.081761
689.982350,0.080713
687.567200,0.078616
685.152050,0.078616
682.736900,0.078616
680.321750,0.078616
677.906600,0.078616
675.491450,0.078616
673.076300,0.078616
670.662500,0.078616
668.247350,0.078616
665.832200,0.078616
663.417050,0.078616
661.001900,0.078616
658.586750,0.078616
656.171600,0.078616
653.756450,0.078616
651.341300,0.078616
648.926150,0.078616
646.511000,0.078616
644.097200,0.078616
641.682050,0.078616
639.266900,0.078616
636.851750,0.078616
634.436600,0.078616
632.021450,0.078616
629.606300,0.077568
627.191150,0.077568
605.456150,0.071565
603.041000,0.070898
600.625850,0.070231
598.210700,0.070231
595.795550,0.070231
593.380400,0.070231
590.966600,0.070231
588.551450,0.072327
586.136300,0.072327
583.721150,0.072327
581.306000,0.073375
578.890850,0.074423
576.475700,0.074423
574.060550,0.074423
571.645400,0.076520
569.230250,0.076520
566.815100,0.076520
564.401300,0.077568
561.986150,0.078616
559.571000,0.079665
557.155850,0.079665
554.740700,0.080713
552.325550,0.082809
549.910400,0.082809
547.495250,0.084906
545.080100,0.084906
542.664950,0.085954
540.249800,0.087002
537.836000,0.088050
535.420850,0.090147
533.005700,0.091195
530.590550,0.092243
528.175400,0.094340
525.760250,0.096436
523.345100,0.097484
520.929950,0.099581
518.514800,0.101677
516.099650,0.103774
513.684500,0.105870
511.270700,0.109015
508.855550,0.112159
506.440400,0.116352
504.025250,0.119497
501.610100,0.124738
499.194950,0.131027
496.779800,0.138365
494.364650,0.148978
491.949500,0.159591
489.534350,0.170204
487.119200,0.180818
484.705400,0.191431
482.290250,0.202044
479.875100,0.212657
477.459950,0.223270
475.044800,0.233753
472.629650,0.262055
470.214500,0.276730
467.799350,0.283019
465.384200,0.299790
462.969050,0.314465
460.553900,0.329140
458.140100,0.352201
455.724950,0.358491
453.309800,0.417191
450.894650,0.436059
448.479500,0.488470
446.064350,0.561845
443.649200,0.568134
441.234050,0.664570
438.818900,0.706499
436.403750,0.719078
433.988600,0.773767
431.574800,0.805533
429.159650,0.837298
426.744500,0.869064
424.329350,0.900829
421.914200,0.932595
419.499050,0.964361
417.083900,0.968553
414.668750,0.966457
412.253600,0.940839
409.838450,0.915220
407.423300,0.889602
405.009500,0.863983
402.594350,0.838365
400.179200,0.812746
397.764050,0.787128
395.348900,0.761509
392.933750,0.735891
390.518600,0.710273
388.103450,0.684654
385.688300,0.659036
383.273150,0.633417
380.859350,0.607799
378.444200,0.582180
376.029050,0.556562
373.613900,0.530943
371.198750,0.505325
368.783600,0.479706
366.368450,0.454088
363.953300,0.400419
361.538150,0.389937
359.123000,0.373166
356.707850,0.351614
354.294050,0.325996
351.878900,0.318658
349.463750,0.313417
347.048600,0.310273
344.633450,0.307128
342.218300,0.302935
339.803150,0.299790
337.388000,0.296646
334.972850,0.293501
332.557700,0.291405
330.142550,0.289308
327.728750,0.287212
325.313600,0.285115
322.898450,0.285115
320.483300,0.284067
318.068150,0.283019
315.653000,0.281971
313.237850,0.281971
310.822700,0.280922
308.407550,0.280922
305.992400,0.280922
303.577250,0.280922
301.163450,0.281971
298.748300,0.281971
296.333150,0.283019
293.918000,0.284067
291.502850,0.285115
289.087700,0.286164
286.672550,0.287212
284.257400,0.289308
281.842250,0.291405
279.427100,0.291405
277.011950,0.293501
274.598150,0.295597
272.183000,0.296646
269.767850,0.297694
267.352700,0.299790
264.937550,0.301887
262.522400,0.302935
260.107250,0.303983
257.692100,0.306080
255.276950,0.308176
252.861800,0.310273
250.446650,0.311321
248.032850,0.312369
245.617700,0.314465
243.202550,0.315514
240.787400,0.316562
238.372250,0.318658
235.957100,0.320755
233.541950,0.321803
231.126800,0.322851
228.711650,0.324948
226.296500,0.327044
223.881350,0.328092
221.467550,0.329140
219.052400,0.331237
216.637250,0.333333
214.222100,0.334382
211.806950,0.335430
209.391800,0.337526
206.976650,0.339623
204.561500,0.341719
202.146350,0.343816
199.731200,0.345912
197.316050,0.348008
194.902250,0.348008
192.487100,0.349057
190.071950,0.350105
187.656800,0.353249
185.241650,0.356394
182.826500,0.358491
180.411350,0.361635
177.996200,0.363732
175.581050,0.366876
173.165900,0.370021
170.750750,0.374214
168.336950,0.378407
165.921800,0.382600
163.506650,0.386792
161.091500,0.390985
158.676350,0.396226
156.261200,0.400419
153.846050,0.405660
151.430900,0.409853
149.015750,0.415094
146.600600,0.420335
144.185450,0.425577
141.771650,0.428721
139.356500,0.436059
136.941350,0.441300
134.526200,0.445493
132.111050,0.451782
129.695900,0.457023
127.280750,0.464361
124.865600,0.470650
122.450450,0.477987
120.035300,0.484277
117.620150,0.493711
115.206350,0.500000
112.791200,0.507338
110.376050,0.515723
107.960900,0.524109
105.545750,0.532794
103.130600,0.541479
100.715450,0.550165
98.300300,0.556604
95.885150,0.569182
93.470000,0.603774
91.054850,0.622642
88.641050,0.649895
86.225900,0.685535
83.810750,0.704403
81.395600,0.719078
78.980450,0.742138
76.565300,0.781971
74.150150,0.809224
71.735000,0.823899
69.319850,0.851153
66.904700,0.886792
64.489550,0.920335
62.075750,0.962264
59.660600,0.995807
57.245450,1.000000
54.830300,1.000000
52.415150,1.000000
