FREQUENCY (cm⁻¹),ENERGY TRANSMITTED
2027.659600,63.392900
2029.787200,63.392900
2031.914800,63.392900
2034.042400,63.392900
2036.170000,63.392900
2038.297600,63.392900
2040.425800,44.642900
2042.553400,43.750000
2044.681000,43.750000
2046.808600,63.392900
2048.936200,63.392900
2051.063800,42.857100
2053.191400,42.857100
2055.319000,42.857100
2057.446600,42.857100
2059.574200,63.392900
2061.702400,63.392900
2063.830000,63.392900
2065.957600,63.392900
2068.085200,63.392900
2070.212800,63.392900
2072.340400,62.946400
2074.468000,62.500000
2076.595600,62.500000
2078.723200,62.500000
2080.850800,62.500000
2082.979000,62.500000
2085.106600,62.946400
2087.234200,62.946400
2089.361800,62.946400
2091.489400,62.946400
2093.617000,62.946400
2095.744600,62.946400
2097.872200,62.946400
2099.999800,62.946400
2102.127400,62.946400
2104.255600,62.946400
2106.383200,62.946400
2108.510800,62.053600
2110.638400,62.053600
2112.766000,62.053600
2114.893600,62.053600
2117.021200,62.053600
2119.148800,62.053600
2121.276400,62.053600
2123.404000,62.053600
2125.532200,62.053600
2127.659800,62.053600
2129.787400,62.053600
2131.915000,62.053600
2134.042600,62.053600
2136.170200,62.946400
2138.297800,62.946400
2140.425400,62.946400
2142.553000,62.946400
2144.680600,62.946400
2146.808800,62.946400
2148.936400,63.392900
2151.064000,63.392900
2153.191600,63.392900
2155.319200,63.392900
2157.446800,63.392900
2159.574400,63.392900
2161.702000,63.392900
2163.829600,63.392900
2165.957200,63.392900
2168.085400,63.392900
2170.213000,63.392900
2172.340600,63.839300
2174.468200,63.839300
2176.595800,63.839300
2178.723400,63.839300
2180.851000,63.839300
2182.978600,63.839300
2185.106200,63.839300
2187.233800,63.392900
2189.362000,63.392900
2191.489600,63.392900
2193.617200,63.392900
2195.744800,63.392900
2197.872400,62.946400
2200.000000,62.500000
2202.127600,62.053600
2204.255200,62.053600
2206.382800,62.053600
2208.510400,62.053600
2210.638000,62.053600
2212.766200,62.053600
2214.893800,61.607100
2217.021400,61.607100
2219.149000,61.607100
2221.276600,61.607100
2223.404200,61.607100
2225.531800,61.607100
2227.659400,61.607100
2229.787000,61.607100
2231.914600,61.607100
2234.042800,61.607100
2236.170400,61.607100
2238.298000,61.607100
2240.425600,61.607100
2242.553200,61.607100
2244.680800,61.607100
2246.808400,61.607100
2248.936000,61.607100
2251.063600,61.607100
2253.191200,61.607100
2255.319400,61.607100
2257.447000,61.160700
2259.574600,61.160700
2261.702200,61.160700
2263.829800,60.714300
2265.957400,60.714300
2268.085000,60.714300
2270.212600,60.714300
2272.340200,60.714300
2274.467800,60.714300
2276.596000,60.714300
2278.723600,60.714300
2280.851200,60.714300
2282.978800,60.714300
2285.106400,60.267900
2287.234000,60.267900
2289.361600,60.267900
2291.489200,60.267900
2293.616800,59.821400
2295.744400,59.821400
2297.872600,59.375000
2300.000200,59.375000
2302.127800,59.375000
2304.255400,58.928600
2306.383000,58.482100
2308.510600,58.482100
2310.638200,58.035700
2312.765800,58.035700
2314.893400,57.589300
2317.021000,57.589300
2319.149200,57.142900
2321.276800,56.696400
2323.404400,56.696400
2325.532000,56.696400
2327.659600,56.250000
2329.787200,55.803600
2331.914800,55.357100
2334.042400,55.357100
2336.170000,55.803600
2338.297600,55.803600
2340.425800,55.803600
2342.553400,55.803600
2344.681000,56.696400
2346.808600,56.696400
2348.936200,56.696400
2351.063800,57.142900
2353.191400,57.589300
2355.319000,57.589300
2357.446600,57.589300
2359.574200,57.589300
2361.702400,57.142900
2363.830000,56.696400
2365.957600,56.696400
2368.085200,56.250000
2370.212800,55.803600
2372.340400,55.803600
2374.468000,55.803600
2376.595600,55.357100
2378.723200,54.910700
2380.850800,54.464300
2382.979000,53.571400
2385.106600,52.232100
2387.234200,50.892900
2389.361800,49.553600
2391.489400,48.660700
2393.617000,48.214300
2395.744600,47.321400
2397.872200,46.875000
2399.999800,46.875000
2402.127400,46.875000
2404.255600,47.321400
2406.383200,46.875000
2408.510800,46.875000
2410.638400,46.875000
2412.766000,46.875000
2414.893600,46.428600
2417.021200,45.982100
2419.148800,45.982100
2421.276400,45.982100
2423.404000,45.535700
2425.532200,45.535700
2427.659800,45.089300
2429.787400,45.089300
2431.915000,44.196400
2434.042600,43.303600
2436.170200,43.303600
2438.297800,42.410700
2440.425400,41.517900
2442.553000,40.625000
2444.680600,39.732100
2446.808800,38.839300
2448.936400,37.500000
2451.064000,36.160700
2453.191600,35.267900
2455.319200,34.375000
2457.446800,33.482100
2459.574400,32.589300
2461.702000,32.589300
2463.829600,31.696400
2465.957200,30.357100
2468.085400,29.464300
2470.213000,28.571400
2472.340600,27.678600
2474.468200,25.892900
2476.595800,25.000000
2478.723400,24.107100
2480.851000,23.214300
2482.978600,21.875000
2485.106200,20.535700
2487.233800,19.196400
2489.362000,17.410700
2491.489600,15.625000
2493.617200,15.625000
2495.744800,15.625000
2497.872400,15.625000
