frequency (cm^-1),energy transmitted
1000.000000,0.901713
998.924500,0.911501
997.849500,0.911093
996.774000,0.911093
995.699000,0.911093
994.623500,0.911093
993.548500,0.910685
992.473000,0.910685
991.398000,0.910685
990.322500,0.910277
989.247500,0.909869
988.172000,0.909869
987.097000,0.909462
986.021500,0.909054
984.946000,0.909054
983.871000,0.908646
982.795500,0.908646
981.720500,0.908238
980.645000,0.908238
979.570000,0.908238
978.494500,0.908238
977.419500,0.908238
976.344000,0.908238
975.269000,0.908238
974.193500,0.908238
973.118500,0.908238
972.043000,0.908238
970.967500,0.908238
969.892500,0.907830
968.817000,0.907423
967.742000,0.907423
966.666500,0.907423
965.591500,0.907015
964.516000,0.907015
963.441000,0.907015
962.365500,0.875204
961.290500,0.875204
960.215000,0.875204
959.140000,0.875204
958.064500,0.875204
956.989000,0.875204
955.914000,0.875204
954.838500,0.875204
953.763500,0.875204
952.688000,0.876020
951.613000,0.876020
950.537500,0.876835
949.462500,0.905791
948.387000,0.905383
947.312000,0.905383
946.236500,0.904976
945.161500,0.904976
944.086000,0.904568
943.011000,0.904160
941.935500,0.904160
940.860000,0.904160
939.785000,0.904160
938.709500,0.903752
937.634500,0.903344
936.559000,0.902936
935.484000,0.902529
934.408500,0.902529
933.333500,0.902121
932.258000,0.901713
931.183000,0.901713
930.107500,0.901713
929.032500,0.901305
927.957000,0.901305
926.881500,0.900897
925.806500,0.900489
924.731000,0.900082
923.656000,0.899266
922.580500,0.899266
921.505500,0.898450
920.430000,0.898450
919.355000,0.897635
918.279500,0.897635
917.204500,0.897635
916.129000,0.897635
915.054000,0.897635
913.978500,0.897227
912.903000,0.897227
911.828000,0.896819
910.752500,0.896819
909.677500,0.896003
908.602000,0.896003
907.527000,0.895595
906.451500,0.895188
905.376500,0.894780
904.301000,0.894372
903.226000,0.893556
902.150500,0.893148
901.075500,0.892333
900.000000,0.891925
898.924500,0.891109
897.849500,0.890294
896.774000,0.889886
895.699000,0.889070
894.623500,0.887847
893.548500,0.886623
892.473000,0.885400
891.398000,0.884176
890.322500,0.883361
889.247500,0.881729
888.172000,0.880914
887.097000,0.879690
886.021500,0.878059
884.946000,0.876835
883.871000,0.875204
882.795500,0.873165
881.720500,0.870718
880.645000,0.869086
879.570000,0.867047
878.494500,0.863785
877.419500,0.861338
876.344000,0.859299
875.269000,0.857259
874.193500,0.854812
873.118500,0.852365
872.043000,0.849918
870.967500,0.847879
869.892500,0.843393
868.817000,0.839315
867.742000,0.834166
866.666500,0.829017
865.591500,0.823868
864.516000,0.818719
863.441000,0.813571
862.365500,0.808422
861.290500,0.803273
860.215000,0.798124
859.140000,0.791191
858.064500,0.787113
856.989000,0.784258
855.914000,0.780179
854.838500,0.777732
853.763500,0.774878
852.688000,0.770799
851.613000,0.769168
850.537500,0.765905
849.462500,0.763458
848.387000,0.759788
847.312000,0.756117
846.236500,0.753670
845.161500,0.751631
844.086000,0.749592
843.011000,0.746330
841.935500,0.742251
840.860000,0.738581
839.785000,0.736949
838.709500,0.734910
837.634500,0.732055
836.559000,0.727162
835.484000,0.724307
834.408500,0.722675
833.333500,0.721044
832.258000,0.716966
831.183000,0.715334
830.107500,0.711256
829.032500,0.709217
827.957000,0.707586
826.881500,0.705546
825.806500,0.704731
824.731000,0.704731
823.656000,0.705546
822.580500,0.707993
821.505500,0.712072
820.430000,0.715742
819.355000,0.719821
818.279500,0.709625
817.204500,0.726346
816.129000,0.729608
815.054000,0.732871
813.978500,0.738989
812.903000,0.746330
811.828000,0.748777
810.752500,0.751631
809.677500,0.754486
808.602000,0.757341
807.527000,0.759380
806.451500,0.763866
805.376500,0.767129
804.301000,0.767945
803.226000,0.767945
802.150500,0.767945
801.075500,0.767537
800.000000,0.766721
798.924500,0.765090
797.849500,0.764274
796.774000,0.763051
795.699000,0.761827
794.623500,0.761011
793.548500,0.759788
792.473000,0.758972
791.398000,0.757341
790.322500,0.756525
789.247500,0.756117
788.172000,0.754894
787.097000,0.753263
786.021500,0.752039
784.946000,0.750816
783.871000,0.745514
782.795500,0.741465
781.720500,0.735784
780.645000,0.730104
779.570000,0.724423
778.494500,0.718743
777.419500,0.713062
776.344000,0.707382
775.269000,0.701701
774.193500,0.696021
773.118500,0.690340
772.043000,0.684660
770.967500,0.678979
769.892500,0.673299
768.817000,0.667618
767.742000,0.662724
766.666500,0.659869
765.591500,0.656607
764.516000,0.656199
763.441000,0.656199
762.365500,0.657015
761.290500,0.658646
760.215000,0.663540
759.140000,0.671166
758.064500,0.678793
756.989000,0.686419
755.914000,0.694046
754.838500,0.701672
753.763500,0.709299
752.688000,0.716925
751.613000,0.724551
750.537500,0.732178
749.462500,0.739804
748.387000,0.747145
747.312000,0.751223
746.236500,0.752447
745.161500,0.752855
744.086000,0.745106
743.011000,0.721860
741.935500,0.718597
740.860000,0.717781
739.785000,0.717781
738.709500,0.729608
737.634500,0.730016
736.559000,0.730832
735.484000,0.737765
734.408500,0.738173
733.333500,0.734095
732.258000,0.723180
731.183000,0.712266
730.107500,0.701352
729.032500,0.690437
727.957000,0.679523
726.881500,0.668609
725.806500,0.657694
724.731000,0.646780
723.656000,0.635866
722.580500,0.624951
721.505500,0.614037
720.430000,0.603123
719.355000,0.574225
718.279500,0.565253
717.204500,0.532626
716.129000,0.524470
715.054000,0.508157
713.978500,0.474715
712.903000,0.469821
711.828000,0.469005
710.752500,0.504894
709.677500,0.588091
708.602000,0.627651
707.527000,0.426591
706.451500,0.446166
705.376500,0.486134
704.301000,0.550571
703.226000,0.589723
702.150500,0.629690
701.075500,0.654160
700.000000,0.658238
698.924500,0.662316
697.849500,0.664356
696.774000,0.666395
695.699000,0.668842
694.623500,0.671289
693.548500,0.672512
692.473000,0.673736
691.398000,0.673736
690.322500,0.673736
689.247500,0.672920
688.172000,0.671697
687.097000,0.670881
686.021500,0.669250
684.946000,0.668026
683.871000,0.666803
682.795500,0.664763
681.720500,0.662262
680.645000,0.658524
679.570000,0.651468
678.494500,0.644413
677.419500,0.637357
676.344000,0.630302
675.269000,0.623246
674.193500,0.616191
673.118500,0.609135
672.043000,0.602080
670.967500,0.595024
669.892500,0.587969
668.817000,0.580914
667.742000,0.573858
666.666500,0.566803
665.591500,0.559747
664.516000,0.552692
663.441000,0.545636
662.365500,0.538581
661.290500,0.531525
660.215000,0.524470
659.140000,0.520799
658.064500,0.518760
656.989000,0.513458
655.914000,0.509380
654.838500,0.507749
653.763500,0.504486
652.688000,0.501631
651.613000,0.499184
650.537500,0.496330
649.462500,0.493883
648.387000,0.489804
647.312000,0.487357
646.236500,0.484910
645.161500,0.483687
644.086000,0.482463
643.011000,0.479201
641.935500,0.477569
640.860000,0.476346
639.785000,0.474715
638.709500,0.473491
637.634500,0.472268
636.559000,0.470228
635.484000,0.468189
634.408500,0.466966
633.333500,0.466558
632.258000,0.465742
631.183000,0.465742
630.107500,0.466966
629.032500,0.468189
627.957000,0.470228
626.881500,0.471044
625.806500,0.472268
624.731000,0.473899
623.656000,0.474715
622.580500,0.475938
621.505500,0.476754
620.430000,0.478385
619.355000,0.479608
618.279500,0.481240
617.204500,0.482055
616.129000,0.483279
615.054000,0.484095
613.978500,0.486134
612.903000,0.487765
611.828000,0.489396
610.752500,0.491436
609.677500,0.492659
608.602000,0.495922
607.527000,0.528956
606.451500,0.561990
605.376500,0.588091
604.301000,0.614192
603.226000,0.502447
602.150500,0.660685
601.075500,0.689233
600.000000,0.699021
598.924500,0.712955
597.849500,0.724816
596.774000,0.736678
595.699000,0.748539
594.623500,0.760400
593.548500,0.772261
592.473000,0.784122
591.398000,0.795983
590.322500,0.807844
589.247500,0.819705
588.172000,0.831566
587.097000,0.834829
586.021500,0.837276
584.946000,0.841762
583.871000,0.846248
582.795500,0.849954
581.720500,0.853997
580.645000,0.857259
579.570000,0.859706
578.494500,0.862561
577.419500,0.865416
576.344000,0.867863
575.269000,0.870310
574.193500,0.872349
573.118500,0.873980
572.043000,0.875612
570.967500,0.877243
569.892500,0.878874
568.817000,0.881321
567.742000,0.882545
566.666500,0.883768
565.591500,0.884992
564.516000,0.886215
563.441000,0.887031
562.365500,0.887847
561.290500,0.888662
560.215000,0.888662
559.140000,0.889478
558.064500,0.890294
556.989000,0.891925
555.914000,0.893148
554.838500,0.894372
553.763500,0.895188
552.688000,0.896003
551.613000,0.897227
550.537500,0.898450
549.462500,0.899266
548.387000,0.900082
547.312000,0.901305
546.236500,0.902121
545.161500,0.902936
544.086000,0.903752
543.011000,0.904568
541.935500,0.905383
540.860000,0.906199
539.785000,0.906607
538.709500,0.907423
537.634500,0.907830
536.559000,0.907830
535.484000,0.908646
534.408500,0.909462
533.333500,0.910277
532.258000,0.910685
531.183000,0.911501
530.107500,0.911909
529.032500,0.912724
527.957000,0.913132
526.881500,0.913540
525.806500,0.914356
524.731000,0.915171
523.656000,0.915579
522.580500,0.915987
521.505500,0.916803
520.430000,0.917210
519.355000,0.917618
518.279500,0.918026
517.204500,0.918026
516.129000,0.918842
515.054000,0.918842
513.978500,0.919250
512.903000,0.919657
511.828000,0.919657
510.752500,0.920065
509.677500,0.920473
508.602000,0.920473
507.527000,0.920881
506.451500,0.921289
505.376500,0.921289
504.301000,0.921697
503.226000,0.922104
502.150500,0.922104
501.075500,0.922104
