Frequency (cm^-1),Energy Transmitted
3578.391900,0.753747
3577.512700,0.752677
3576.633500,0.752677
3575.753600,0.752677
3574.874400,0.750535
3573.995200,0.748394
3573.115300,0.748394
3572.236100,0.747323
3571.356900,0.744111
3570.477700,0.740899
3569.597800,0.740899
3568.718600,0.735699
3567.839400,0.732946
3566.959500,0.726445
3566.080300,0.723769
3565.201100,0.714133
3564.321900,0.710921
3563.442000,0.707222
3562.562800,0.701285
3561.683600,0.694861
3560.803700,0.691649
3559.924500,0.689507
3559.045300,0.689507
3558.166100,0.688437
3557.286200,0.687366
3556.407000,0.688437
3555.527800,0.687366
3554.647900,0.686296
3553.768700,0.683084
3552.889500,0.680942
3552.010300,0.677195
3551.130400,0.673329
3550.251200,0.664882
3549.372000,0.659529
3548.492800,0.655636
3547.612900,0.647752
3546.733700,0.642398
3545.854500,0.636364
3544.974600,0.631692
3544.095400,0.626338
3543.216200,0.622056
3542.337000,0.616702
3541.457100,0.614561
3540.577900,0.611349
3539.698700,0.608137
3538.818800,0.608137
3537.939600,0.605996
3537.060400,0.603854
3536.181200,0.600642
3535.301300,0.600642
3534.422100,0.600642
3533.542900,0.600642
3532.663000,0.600642
3531.783800,0.600642
3530.904600,0.600642
3530.025400,0.604925
3529.145500,0.610278
3528.266300,0.613490
3527.387100,0.619914
3526.507200,0.627677
3525.628000,0.635439
3524.748800,0.643201
3523.869600,0.650964
3522.989700,0.657388
3522.110500,0.660600
3521.231300,0.664882
3520.352100,0.669165
3519.472200,0.671306
3518.593000,0.673448
3517.713800,0.676660
3516.833900,0.677730
3515.954700,0.677730
3515.075500,0.679872
3514.196300,0.682013
3513.316400,0.682013
3512.437200,0.682013
3511.558000,0.682013
3510.678100,0.681478
3509.798900,0.680942
3508.919700,0.680942
3508.040500,0.680942
3507.160600,0.682013
3506.281400,0.679872
3505.402200,0.678801
3504.522300,0.677730
3503.643100,0.675589
3502.763900,0.673448
3501.884700,0.672377
3501.004800,0.669165
3500.125600,0.667024
3499.246400,0.665953
3498.366500,0.665953
3497.487300,0.665953
3496.608100,0.665953
3495.728900,0.665953
3494.849000,0.665953
3493.969800,0.664882
3493.090600,0.664882
3492.211400,0.664882
3491.331500,0.664347
3490.452300,0.663812
3489.573100,0.663812
3488.693200,0.662741
3487.814000,0.662741
3486.934800,0.662741
3486.055600,0.661670
3485.175700,0.661670
3484.296500,0.660600
3483.417300,0.660600
3482.537400,0.660600
3481.658200,0.660600
3480.779000,0.660600
3479.899800,0.660600
3479.019900,0.660600
3478.140700,0.660600
3477.261500,0.660600
3476.381600,0.659529
3475.502400,0.659529
3474.623200,0.658458
3473.744000,0.658458
3472.864100,0.658458
3471.984900,0.657388
3471.105700,0.657388
3470.225800,0.656317
3469.346600,0.656317
3468.467400,0.654176
3467.588200,0.654176
3466.708300,0.648822
3465.829100,0.648822
3464.949900,0.648822
3464.070700,0.648822
3463.190800,0.646146
3462.311600,0.643469
3461.432400,0.643469
3460.552500,0.643469
3459.673300,0.642398
3458.794100,0.642398
3457.914900,0.641328
3457.035000,0.640257
3456.155800,0.640257
3455.276600,0.637045
3454.396700,0.633833
3453.517500,0.633833
3452.638300,0.632762
3451.759100,0.631692
3450.879200,0.629550
3450.000000,0.628480
3449.120800,0.628480
3448.240900,0.629550
3447.361700,0.629550
3446.482500,0.629550
3445.603300,0.630621
3444.723400,0.630621
3443.844200,0.630621
3442.965000,0.629550
3442.085100,0.629550
3441.205900,0.628480
3440.326700,0.628480
