frequency (cm^-1),energy transmitted
2500.000000,0.921933
2499.128500,0.921933
2498.256300,0.921314
2497.384800,0.920694
2496.513300,0.920074
2495.641100,0.920074
2494.769600,0.920074
2493.898100,0.921933
2493.025900,0.903346
2492.154400,0.921933
2491.282900,0.920074
2490.410700,0.920074
2489.539200,0.921933
2488.667700,0.921933
2487.795500,0.921933
2486.924000,0.921933
2486.052500,0.923792
2485.180300,0.923792
2484.308800,0.921933
2483.437300,0.921933
2482.565100,0.921933
2481.693600,0.921933
2480.822100,0.921933
2479.949900,0.921933
2479.078400,0.920694
2478.206900,0.919455
2477.334700,0.918216
2476.463200,0.918216
2475.591700,0.916357
2474.719500,0.916357
2473.848000,0.916357
2472.976500,0.916357
2472.104300,0.918216
2471.232800,0.918216
2470.361300,0.918216
2469.489100,0.918216
2468.617600,0.920074
2467.746100,0.920074
2466.873900,0.920074
2466.002400,0.920074
2465.130900,0.918216
2464.258700,0.918216
2463.387200,0.918216
2462.515700,0.920074
2461.643500,0.918216
2460.772000,0.920074
2459.900500,0.920074
2459.028300,0.920074
2458.156800,0.920074
2457.285300,0.920074
2456.413100,0.920074
2455.541600,0.920074
2454.670100,0.920074
2453.798600,0.920074
2452.926400,0.918216
2452.054900,0.918216
2451.183400,0.920074
2450.311200,0.918216
2449.439700,0.916357
2448.568200,0.916357
2447.696000,0.916357
2446.824500,0.918216
2445.953000,0.918216
2445.080800,0.916357
2444.209300,0.916357
2443.337800,0.916357
2442.465600,0.918216
2441.594100,0.918216
2440.722600,0.920074
2439.850400,0.920074
2438.978900,0.918216
2438.107400,0.920074
2437.235200,0.920074
2436.363700,0.921933
2435.492200,0.920074
2434.620000,0.920074
2433.748500,0.920074
2432.877000,0.920074
2432.004800,0.920074
2431.133300,0.920074
2430.261800,0.918216
2429.389600,0.920074
2428.518100,0.920074
2427.646600,0.918216
2426.774400,0.918216
2425.902900,0.916357
2425.031400,0.916357
2424.159200,0.916357
2423.287700,0.916357
2422.416200,0.916357
2421.544000,0.916357
2420.672500,0.916357
2419.801000,0.916357
2418.928800,0.916357
2418.057300,0.916357
2417.185800,0.916357
2416.313600,0.916357
2415.442100,0.916357
2414.570600,0.918216
2413.698400,0.918216
2412.826900,0.918216
2411.955400,0.918216
2411.083200,0.918216
2410.211700,0.918216
2409.340200,0.918216
2408.468000,0.916357
2407.596500,0.916357
2406.725000,0.916357
2405.852800,0.916357
2404.981300,0.916357
2404.109800,0.916357
2403.237600,0.916357
2402.366100,0.916357
2401.494600,0.914498
2400.622400,0.914498
2399.750900,0.914498
2398.879400,0.916357
2398.007200,0.916357
2397.135700,0.916357
2396.264200,0.915428
2395.392000,0.914498
2394.520500,0.914498
2393.649000,0.916357
2392.776800,0.914498
2391.905300,0.916357
2391.033800,0.916357
2390.161600,0.916357
2389.290100,0.916357
2388.418600,0.916357
2387.546400,0.916357
2386.674900,0.916357
2385.803400,0.916357
2384.931200,0.916357
2384.059700,0.918216
2383.188200,0.916357
2382.316000,0.916357
2381.444500,0.918216
2380.573000,0.916357
2379.700800,0.916357
2378.829300,0.916357
2377.957800,0.916357
2377.085600,0.916357
2376.214100,0.916357
2375.342600,0.916357
2374.470400,0.916357
2373.598900,0.916357
2372.727400,0.908922
2371.855200,0.908922
2370.983700,0.908922
2370.112200,0.908922
2369.240000,0.907063
2368.368500,0.905204
2367.497000,0.905204
2366.625500,0.905204
2365.753300,0.905204
2364.881800,0.903346
2364.010300,0.903346
2363.138100,0.903346
2362.266600,0.903346
2361.395100,0.899628
2360.522900,0.899628
2359.651400,0.897770
2358.779900,0.892193
2357.907700,0.890335
2357.036200,0.888476
2356.164700,0.888476
2355.292500,0.888476
2354.421000,0.877323
2353.549500,0.877323
2352.677300,0.877323
2351.805800,0.879182
2350.934300,0.877323
2350.062100,0.881041
2349.190600,0.882900
2348.319100,0.884758
2347.446900,0.884758
2346.575400,0.884758
2345.703900,0.882900
2344.831700,0.882900
2343.960200,0.882900
2343.088700,0.879182
2342.216500,0.875465
2341.345000,0.875465
2340.473500,0.875465
2339.601300,0.873606
2338.729800,0.871747
2337.858300,0.868030
2336.986100,0.864312
2336.114600,0.862454
2335.243100,0.858736
2334.370900,0.856877
2333.499400,0.855019
2332.627900,0.853160
2331.755700,0.853160
2330.884200,0.849442
2330.012700,0.847584
2329.140500,0.843866
2328.269000,0.843866
2327.397500,0.836431
2326.525300,0.830855
2325.653800,0.823420
2324.782300,0.821561
2323.910100,0.817844
2323.038600,0.810409
2322.167100,0.804833
2321.294900,0.801115
2320.423400,0.795539
2319.551900,0.791822
2318.679700,0.784387
2317.808200,0.782528
2316.936700,0.775093
2316.064500,0.765799
2315.193000,0.762082
2314.321500,0.758364
2313.449300,0.750929
2312.577800,0.750929
2311.706300,0.741636
2310.834100,0.732342
2309.962600,0.724907
2309.091100,0.721190
2308.218900,0.704461
2307.347400,0.700743
2306.475900,0.695167
2305.603700,0.682156
2304.732200,0.672862
2303.860700,0.665428
2302.988500,0.661710
2302.117000,0.652416
2301.245500,0.641264
2300.373300,0.633829
2299.501800,0.630112
2298.630300,0.622677
2297.758100,0.608603
2296.886600,0.601766
2296.015100,0.594796
2295.142900,0.581784
2294.271400,0.570632
2293.399900,0.565056
2292.527700,0.555762
2291.656200,0.542286
2290.784700,0.520818
2289.912500,0.499349
2289.041000,0.477881
2288.169500,0.456413
2287.297300,0.434944
2286.425800,0.472119
2285.554300,0.418216
2284.682100,0.412639
2283.810600,0.407063
2282.939100,0.427509
2282.066900,0.388476
2281.195400,0.386617
2280.323900,0.405204
2279.452400,0.366171
2278.580200,0.362454
2277.708700,0.382900
2276.837200,0.342007
2275.965000,0.340149
2275.093500,0.325279
2274.222000,0.317844
2273.349800,0.310409
2272.478300,0.302974
2271.606800,0.301115
2270.734600,0.286245
2269.863100,0.252788
2268.991600,0.295539
2268.119400,0.291822
2267.247900,0.288104
2266.376400,0.284387
2265.504200,0.280669
2264.632700,0.275093
2263.761200,0.273234
2262.889000,0.271375
2262.017500,0.269517
2261.146000,0.269517
2260.273800,0.267658
2259.402300,0.267658
2258.530800,0.265799
2257.658600,0.265799
2256.787100,0.267658
2255.915600,0.267658
2255.043400,0.273234
2254.171900,0.273234
2253.300400,0.275093
2252.428200,0.278810
2251.556700,0.282528
2250.685200,0.284387
2249.813000,0.286245
2248.941500,0.288104
2248.070000,0.288104
2247.197800,0.289963
2246.326300,0.288104
2245.454800,0.289963
2244.582600,0.291822
2243.711100,0.295539
2242.839600,0.299257
2241.967400,0.308550
2241.095900,0.314126
2240.224400,0.317844
2239.352200,0.321561
2238.480700,0.328996
2237.609200,0.332714
2236.737000,0.332714
2235.865500,0.334572
2234.994000,0.334572
2234.121800,0.334572
2233.250300,0.332714
2232.378800,0.332714
2231.506600,0.330855
2230.635100,0.327138
2229.763600,0.323420
2228.891400,0.321561
2228.019900,0.321561
2227.148400,0.317844
2226.276200,0.315985
2225.404700,0.312268
2224.533200,0.308550
2223.661000,0.304833
2222.789500,0.299257
2221.918000,0.293680
2221.045800,0.291822
2220.174300,0.282528
2219.302800,0.275093
2218.430600,0.275093
2217.559100,0.263941
2216.687600,0.252788
2215.815400,0.245353
2214.943900,0.236059
2214.072400,0.230483
2213.200200,0.219331
2212.328700,0.213755
2211.457200,0.210037
2210.585000,0.202602
2209.713500,0.195167
2208.842000,0.195167
2207.969800,0.193309
2207.098300,0.193309
2206.226800,0.189591
2205.354600,0.189591
2204.483100,0.191450
2203.611600,0.191450
2202.739400,0.189591
2201.867900,0.189591
2200.996400,0.189591
2200.124200,0.189591
2199.252700,0.187732
2198.381200,0.187732
2197.509000,0.184015
2196.637500,0.180297
2195.766000,0.180297
2194.893800,0.178439
2194.022300,0.176580
2193.150800,0.172862
2192.279300,0.169145
2191.407100,0.167286
2190.535600,0.165428
2189.664100,0.163569
2188.791900,0.161710
2187.920400,0.161710
2187.048900,0.161710
2186.176700,0.161710
2185.305200,0.161710
2184.433700,0.161710
2183.561500,0.161710
2182.690000,0.161710
2181.818500,0.167286
2180.946300,0.171004
2180.074800,0.171004
2179.203300,0.176580
2178.331100,0.182156
2177.459600,0.185874
2176.588100,0.191450
2175.715900,0.198885
2174.844400,0.198885
2173.972900,0.210037
2173.100700,0.215613
2172.229200,0.215613
2171.357700,0.224907
2170.485500,0.236059
2169.614000,0.236059
2168.742500,0.241636
2167.870300,0.245353
2166.998800,0.250929
2166.127300,0.258364
2165.255100,0.262082
2164.383600,0.263941
2163.512100,0.265799
2162.639900,0.273234
2161.768400,0.276952
2160.896900,0.276952
2160.024700,0.276952
2159.153200,0.288104
2158.281700,0.288104
2157.409500,0.286245
2156.538000,0.288104
2155.666500,0.289963
2154.794300,0.291822
2153.922800,0.293680
2153.051300,0.301115
2152.179100,0.308550
2151.307600,0.325279
2150.436100,0.337493
2149.563900,0.349708
2148.692400,0.361922
2147.820900,0.374137
2146.948700,0.386352
2146.077200,0.398566
2145.205700,0.410781
2144.333500,0.434944
2143.462000,0.444703
2142.590500,0.454461
2141.718300,0.464219
2140.846800,0.473978
2139.975300,0.483271
2139.103100,0.498141
2138.231600,0.505576
2137.360100,0.516729
2136.487900,0.522305
2135.616400,0.529740
2134.744900,0.533457
2133.872700,0.542751
2133.001200,0.552045
2132.129700,0.552045
2131.257500,0.559480
2130.386000,0.563197
