frequency (cm^-1),energy transmitted
1750.000000,0.089056
1749.121500,0.091202
1748.243700,0.092275
1747.365200,0.094421
1746.486700,0.095494
1745.608200,0.097639
1744.730400,0.099785
1743.851900,0.100858
1742.973400,0.103004
1742.095600,0.104077
1741.217100,0.105150
1740.338600,0.106223
1739.460800,0.108369
1738.582300,0.108369
1737.703800,0.110515
1736.825300,0.111588
1735.947500,0.112661
1735.069000,0.114807
1734.190500,0.116953
1733.312700,0.119099
1732.434200,0.121245
1731.555700,0.123391
1730.677200,0.124464
1729.799400,0.125536
1728.920900,0.092275
1728.042400,0.092275
1727.164600,0.092275
1726.286100,0.092275
1725.407600,0.092275
1724.529800,0.092275
1723.651300,0.092275
1722.772800,0.139485
1721.894300,0.141631
1721.016500,0.143777
1720.138000,0.145923
1719.259500,0.148069
1718.381700,0.149142
1717.503200,0.151288
1716.624700,0.153433
1715.746200,0.155579
1714.868400,0.156652
1713.989900,0.158798
1713.111400,0.159871
1712.233600,0.162017
1711.355100,0.164163
1710.476600,0.165236
1709.598800,0.167382
1708.720300,0.169528
1707.841800,0.171674
1706.963300,0.173820
1706.085500,0.175966
1705.207000,0.178112
1704.328500,0.179185
1703.450700,0.181330
1702.572200,0.181330
1701.693700,0.183476
1700.815900,0.184549
1699.937400,0.185622
1699.058900,0.186695
1698.180400,0.187768
1697.302600,0.187768
1696.424100,0.189914
1695.545600,0.189914
1694.667800,0.192060
1693.789300,0.192060
1692.910800,0.194206
1692.032300,0.194206
1691.154500,0.196352
1690.276000,0.196352
1689.397500,0.197425
1688.519700,0.198498
1687.641200,0.200644
1686.762700,0.200644
1685.884900,0.202790
1685.006400,0.203863
1684.127900,0.206009
1683.249400,0.207082
1682.371600,0.208155
1681.493100,0.209227
1680.614600,0.210300
1679.736800,0.211373
1678.858300,0.211373
1677.979800,0.213519
1677.101300,0.213519
1676.223500,0.213519
1675.345000,0.215665
1674.466500,0.215665
1673.588700,0.216738
1672.710200,0.217811
1671.831700,0.218884
1670.953900,0.218884
1670.075400,0.219957
1669.196900,0.221030
1668.318400,0.222103
1667.440600,0.222103
1666.562100,0.224249
1665.683600,0.224249
1664.805800,0.226395
1663.927300,0.226395
1663.048800,0.228541
