x,y
8.06,97.47
8.06,94.22
8.06,87.73
8.06,84.48
8.06,81.23
8.17,90.97
8.17,77.98
8.17,74.73
8.17,71.48
8.17,68.23
8.17,58.48
8.29,64.98
8.29,61.73
8.29,55.23
8.29,51.99
8.29,48.74
8.29,45.49
8.29,38.99
8.29,83.75
8.29,87.00
8.29,93.50
8.40,42.24
8.40,35.74
8.40,32.49
8.40,29.24
8.40,25.99
8.40,22.74
8.40,19.49
8.40,13.00
8.40,64.26
8.40,67.51
8.40,70.76
8.40,74.01
8.40,77.26
8.40,80.51
8.40,90.25
8.51,16.25
8.51,38.09
8.51,44.58
8.51,47.83
8.51,51.81
8.51,54.51
8.51,57.76
8.51,61.01
8.51,97.83
8.63,15.34
8.63,21.84
8.63,25.09
8.63,28.34
8.63,31.59
8.63,34.84
8.63,41.34
8.63,98.92
8.74,18.59
8.85,99.28
8.85,96.03
8.97,50.72
9.76,13.54
9.76,52.89
9.88,96.03
10.33,52.53
10.44,13.18
10.67,98.92
10.90,99.46
10.90,95.31
11.80,13.54
11.80,53.07
11.92,95.49
12.37,52.71
12.49,13.18
12.71,99.10
12.94,99.46
12.94,94.58
13.85,13.72
13.85,53.07
13.96,94.58
14.42,52.71
14.53,13.18
14.76,99.10
14.98,99.46
14.98,93.68
15.89,13.54
15.89,52.71
16.00,93.50
16.46,52.17
16.57,13.18
16.80,98.92
17.03,99.28
17.03,92.24
17.93,13.54
17.93,52.35
18.05,92.06
18.50,51.81
18.62,13.18
18.84,99.10
19.07,99.46
19.07,90.79
19.98,13.72
19.98,52.17
20.09,90.61
20.54,51.62
20.66,13.36
20.89,99.10
21.11,99.46
21.11,89.71
21.91,13.54
22.02,51.62
22.13,89.71
22.59,51.08
22.70,13.18
22.81,49.82
22.93,99.10
23.04,49.46
23.16,99.46
23.16,88.09
23.95,13.72
24.06,50.36
24.18,87.36
24.74,13.36
24.97,99.10
25.09,48.92
25.09,85.56
25.20,99.46
25.99,13.72
26.11,49.46
26.22,84.84
26.79,13.36
26.90,82.85
27.01,99.10
27.13,48.01
27.24,99.46
27.58,49.10
28.04,13.72
28.15,81.95
28.83,13.18
28.94,46.93
28.94,79.96
29.06,99.10
29.17,46.03
29.28,99.46
29.97,78.88
30.08,13.72
30.87,13.36
30.87,76.90
30.99,44.95
31.10,99.10
31.21,44.04
31.33,99.46
31.67,75.81
32.01,73.65
33.03,41.16
33.03,42.06
33.14,99.28
33.26,73.47
33.37,99.64
33.37,70.40
33.94,71.12
34.05,37.91
34.17,38.81
34.39,68.77
34.51,67.15
35.19,34.66
35.19,35.56
35.19,65.52
35.19,99.28
35.30,63.90
35.41,99.64
36.32,31.41
36.44,32.31
36.66,62.64
37.23,61.55
37.23,99.28
37.46,99.64
37.68,29.24
37.68,29.78
38.71,62.45
39.16,32.31
39.27,31.77
39.27,62.09
39.27,99.28
39.50,99.64
40.64,63.90
40.98,31.41
40.98,32.31
41.09,62.82
41.32,99.28
41.54,99.82
42.11,28.16
42.22,29.06
42.57,62.09
42.91,60.65
43.36,99.28
43.59,99.64
43.59,25.27
43.70,26.17
44.04,57.94
44.04,59.57
44.38,22.02
44.49,22.92
44.72,18.77
44.84,19.68
45.06,56.68
45.40,55.42
45.40,99.28
45.52,15.52
45.63,99.82
45.74,16.43
46.42,18.23
46.42,19.68
46.77,56.68
46.88,22.92
46.99,21.48
46.99,56.32
47.33,24.73
47.33,26.17
47.45,99.46
47.67,99.82
47.67,59.93
47.79,28.52
47.90,59.57
48.92,62.45
49.26,61.55
49.49,99.46
49.49,28.34
49.72,99.64
49.72,28.70
49.83,69.68
50.40,70.04
50.96,62.09
51.31,61.73
51.53,99.46
51.53,28.34
51.76,99.82
51.76,29.24
51.87,69.31
52.33,69.13
52.89,13.90
53.01,62.27
53.35,62.09
53.58,99.46
53.58,29.60
53.69,67.51
53.80,99.82
53.80,29.96
54.14,67.69
54.26,13.54
54.94,14.08
55.05,62.09
55.39,61.73
55.62,99.64
55.62,28.52
55.73,67.15
55.85,100.00
55.85,28.88
56.19,67.15
56.30,13.54
56.98,13.90
57.09,61.55
57.43,60.65
57.55,66.43
57.55,26.53
57.66,99.46
57.89,99.82
57.89,26.90
58.23,66.25
58.34,13.54
59.02,64.08
59.02,13.90
59.14,59.39
59.48,58.84
59.59,26.17
59.70,63.72
59.70,99.46
59.93,100.00
59.93,26.90
60.16,31.23
60.16,30.14
60.39,61.37
60.39,13.54
60.73,27.26
60.84,60.83
60.95,28.70
60.95,14.44
61.18,59.93
61.29,63.72
61.52,31.95
61.63,31.59
61.75,99.64
61.75,34.84
61.98,100.00
62.32,27.26
62.43,28.34
62.43,13.54
62.54,62.82
62.88,62.27
63.00,13.90
63.11,29.78
63.68,31.05
63.79,99.46
64.02,99.82
64.47,13.54
64.59,63.36
64.93,63.00
64.93,30.69
65.04,14.08
65.38,32.67
65.83,99.64
66.06,100.00
66.29,32.49
66.40,66.06
66.52,13.72
66.63,32.49
66.97,66.06
67.08,14.08
67.31,30.87
67.42,34.30
67.65,34.12
67.88,99.64
68.10,100.00
68.33,68.77
